Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2021-02-01 08:22:00,24.8,47.13
2021-02-01 08:23:00,24.85,47.07
2021-02-01 08:24:00,24.87,46.99
2021-02-01 08:25:00,24.9,46.93
2021-02-01 08:26:00,24.93,46.84
2021-02-01 08:27:00,24.97,46.8
2021-02-01 08:28:00,25.02,46.78
2021-02-01 08:29:00,25.03,46.77
2021-02-01 08:30:00,25.06,46.65
2021-02-01 08:31:00,25.1,46.67
2021-02-01 08:32:00,25.14,46.6
2021-02-01 08:33:00,25.14,46.55
2021-02-01 08:34:00,25.2,46.5
2021-02-01 08:35:00,25.2,46.46
2021-02-01 08:36:00,25.21,46.4
2021-02-01 08:37:00,25.24,46.36
2021-02-01 08:38:00,25.27,46.3
2021-02-01 08:39:00,25.28,46.17
2021-02-01 08:40:00,25.31,46.16
2021-02-01 08:41:00,25.33,46.15
2021-02-01 08:42:00,25.34,46.07
2021-02-01 08:43:00,25.38,46.1
2021-02-01 08:44:00,25.38,46.06
2021-02-01 08:45:00,25.41,46.01
2021-02-01 08:46:00,25.41,45.89
2021-02-01 08:47:00,25.44,45.88
2021-02-01 08:48:00,25.45,45.79
2021-02-01 08:49:00,25.46,45.72
2021-02-01 08:50:00,25.48,45.65
2021-02-01 08:51:00,25.51,45.67
2021-02-01 08:52:00,25.51,45.66
2021-02-01 08:53:00,25.52,45.62
2021-02-01 08:54:00,25.57,45.61
2021-02-01 08:55:00,25.58,45.51
2021-02-01 08:56:00,25.57,45.55
2021-02-01 08:57:00,25.58,45.46
2021-02-01 08:58:00,25.6,45.5
2021-02-01 08:59:00,25.62,45.47
2021-02-01 09:00:00,25.62,45.47
2021-02-01 09:01:00,25.65,45.35
2021-02-01 09:02:00,25.68,45.35
2021-02-01 09:03:00,25.67,45.32
2021-02-01 09:04:00,25.69,45.38
2021-02-01 09:05:00,25.69,45.41
2021-02-01 09:06:00,25.71,45.35
2021-02-01 09:07:00,25.71,45.29
2021-02-01 09:08:00,25.69,45.22
2021-02-01 09:09:00,25.71,45.22
2021-02-01 09:10:00,25.72,45.18
2021-02-01 09:11:00,25.73,45.17
2021-02-01 09:12:00,25.75,45.21
2021-02-01 09:13:00,25.75,45.1
2021-02-01 09:14:00,25.76,45.03
2021-02-01 09:15:00,25.78,45.04
2021-02-01 09:16:00,25.78,45.08
2021-02-01 09:17:00,25.76,45.05
2021-02-01 09:18:00,25.81,45.1
2021-02-01 09:19:00,25.81,45.07
2021-02-01 09:20:00,25.79,45.04
2021-02-01 09:21:00,25.81,44.99
2021-02-01 09:22:00,25.82,45.01
2021-02-01 09:23:00,25.83,44.97
2021-02-01 09:24:00,25.83,44.96
2021-02-01 09:25:00,25.82,45.01
2021-02-01 09:26:00,25.82,44.93
2021-02-01 09:27:00,25.85,44.87
2021-02-01 09:28:00,25.83,44.88
2021-02-01 09:29:00,25.86,44.88
2021-02-01 09:30:00,25.86,44.87
2021-02-01 09:31:00,25.86,44.88
2021-02-01 09:32:00,25.88,44.89
2021-02-01 09:33:00,25.86,44.87
2021-02-01 09:34:00,25.88,44.86
2021-02-01 09:35:00,25.86,44.8
2021-02-01 09:36:00,25.9,44.79
2021-02-01 09:37:00,25.92,44.84
2021-02-01 09:38:00,25.9,44.77
2021-02-01 09:39:00,25.9,44.75
2021-02-01 09:40:00,25.89,44.74
2021-02-01 09:41:00,25.9,44.73
2021-02-01 09:42:00,25.9,44.74
2021-02-01 09:43:00,25.92,44.67
2021-02-01 09:44:00,25.93,44.71
2021-02-01 09:45:00,25.9,44.64
2021-02-01 09:46:00,25.93,44.7
2021-02-01 09:47:00,25.93,44.63
2021-02-01 09:48:00,25.9,44.57
2021-02-01 09:49:00,25.95,44.63
2021-02-01 09:50:00,25.93,44.6
2021-02-01 09:51:00,25.98,44.64
2021-02-01 09:52:00,25.96,44.69
2021-02-01 09:53:00,25.96,44.65
2021-02-01 09:54:00,25.96,44.65
2021-02-01 09:55:00,25.95,44.67
2021-02-01 09:56:00,25.95,44.7
2021-02-01 09:57:00,25.96,44.64
2021-02-01 09:58:00,25.96,44.66
2021-02-01 09:59:00,25.96,44.65
2021-02-01 10:00:00,26,44.68
2021-02-01 10:01:00,26,44.67
2021-02-01 10:02:00,26,44.63
2021-02-01 10:03:00,26.02,44.62
2021-02-01 10:04:00,25.98,44.64
2021-02-01 10:05:00,25.99,44.65
2021-02-01 10:06:00,26,44.69
2021-02-01 10:07:00,25.99,44.67
2021-02-01 10:08:00,26,44.69
2021-02-01 10:09:00,26,44.67
2021-02-01 10:10:00,26.03,44.63
2021-02-01 10:11:00,26,44.57
2021-02-01 10:12:00,26,44.56
2021-02-01 10:13:00,26,44.65
2021-02-01 10:14:00,26.02,44.68
2021-02-01 10:15:00,26.02,44.66
2021-02-01 10:16:00,26.02,44.62
2021-02-01 10:17:00,26.02,44.67
2021-02-01 10:18:00,26.02,44.64
2021-02-01 10:19:00,26.02,44.68
2021-02-01 10:20:00,26.03,44.63
2021-02-01 10:21:00,26.03,44.58
2021-02-01 10:22:00,26.02,44.57
2021-02-01 10:23:00,26.02,44.53
2021-02-01 10:24:00,26.03,44.56
2021-02-01 10:25:00,26.06,44.48
2021-02-01 10:26:00,26.04,44.52
2021-02-01 10:27:00,26.04,44.47
2021-02-01 10:28:00,26.04,44.46
2021-02-01 10:29:00,26.06,44.47
2021-02-01 10:30:00,26.06,44.43
2021-02-01 10:31:00,26.07,44.39
2021-02-01 10:32:00,26.07,44.39
2021-02-01 10:33:00,26.06,44.39
2021-02-01 10:34:00,26.07,44.38
2021-02-01 10:35:00,26.07,44.32
2021-02-01 10:36:00,26.07,44.25
2021-02-01 10:37:00,26.06,44.26
2021-02-01 10:38:00,26.06,44.31
2021-02-01 10:39:00,26.06,44.37
2021-02-01 10:40:00,26.07,44.32
2021-02-01 10:41:00,26.04,44.37
2021-02-01 10:42:00,26.07,44.35
2021-02-01 10:43:00,26.04,44.39
2021-02-01 10:44:00,26.07,44.49
2021-02-01 10:45:00,26.03,44.45
2021-02-01 10:46:00,26.07,44.49
2021-02-01 10:47:00,26.09,44.41
2021-02-01 10:48:00,26.09,44.39
2021-02-01 10:49:00,26.07,44.4
2021-02-01 10:50:00,26.09,44.37
2021-02-01 10:51:00,26.09,44.31
2021-02-01 10:52:00,26.09,44.35
2021-02-01 10:53:00,26.09,44.34
2021-02-01 10:54:00,26.09,44.34
2021-02-01 10:55:00,26.1,44.34
2021-02-01 10:56:00,26.09,44.39
2021-02-01 10:57:00,26.1,44.32
2021-02-01 10:58:00,26.09,44.28
2021-02-01 10:59:00,26.06,44.32
2021-02-01 11:00:00,26.1,44.35
2021-02-01 11:01:00,26.14,44.29
2021-02-01 11:02:00,26.11,44.3
2021-02-01 11:03:00,26.13,44.23
2021-02-01 11:04:00,26.11,44.24
2021-02-01 11:05:00,26.1,44.23
2021-02-01 11:06:00,26.1,44.22
2021-02-01 11:07:00,26.1,44.16
2021-02-01 11:08:00,26.1,44.19
2021-02-01 11:09:00,26.11,44.19
2021-02-01 11:10:00,26.07,44.16
2021-02-01 11:11:00,26.11,44.22
2021-02-01 11:12:00,26.09,44.26
2021-02-01 11:13:00,26.1,44.3
2021-02-01 11:14:00,26.11,44.29
2021-02-01 11:15:00,26.11,44.41
2021-02-01 11:16:00,26.11,44.33
2021-02-01 11:17:00,26.11,44.35
2021-02-01 11:18:00,26.11,44.37
2021-02-01 11:19:00,26.1,44.37
2021-02-01 11:20:00,26.13,44.38
2021-02-01 11:21:00,26.11,44.41
2021-02-01 11:22:00,26.1,44.48
2021-02-01 11:23:00,26.13,44.63
2021-02-01 11:24:00,26.14,44.67
2021-02-01 11:25:00,26.14,44.71
2021-02-01 11:26:00,26.13,44.74
2021-02-01 11:27:00,26.14,44.6
2021-02-01 11:28:00,26.16,44.55
2021-02-01 11:29:00,26.16,44.51
2021-02-01 11:30:00,26.14,44.49
2021-02-01 11:31:00,26.17,44.4
2021-02-01 11:32:00,26.17,44.29
2021-02-01 11:33:00,26.19,44.32
2021-02-01 11:34:00,26.19,44.25
2021-02-01 11:35:00,26.16,44.25
2021-02-01 11:36:00,26.17,44.29
2021-02-01 11:37:00,26.16,44.32
2021-02-01 11:38:00,26.16,44.24
2021-02-01 11:39:00,26.17,44.23
2021-02-01 11:40:00,26.16,44.22
2021-02-01 11:41:00,26.14,44.19
2021-02-01 11:42:00,26.17,44.16
2021-02-01 11:43:00,26.17,44.17
2021-02-01 11:44:00,26.16,44.22
2021-02-01 11:45:00,26.16,44.21
2021-02-01 11:46:00,26.19,44.31
2021-02-01 11:47:00,26.19,44.23
2021-02-01 11:48:00,26.17,44.31
2021-02-01 11:49:00,26.17,44.24
2021-02-01 11:50:00,26.16,44.29
2021-02-01 11:51:00,26.16,44.21
2021-02-01 11:52:00,26.16,44.31
2021-02-01 11:53:00,26.17,44.24
2021-02-01 11:54:00,26.19,44.28
2021-02-01 11:55:00,26.2,44.29
2021-02-01 11:56:00,26.19,44.28
2021-02-01 11:57:00,26.2,44.24
2021-02-01 11:58:00,26.22,44.26
2021-02-01 11:59:00,26.2,44.26
2021-02-01 12:00:00,26.22,44.15
2021-02-01 12:01:00,26.22,44.05
2021-02-01 12:02:00,26.26,44.11
2021-02-01 12:03:00,26.23,44.18
2021-02-01 12:04:00,26.22,44.16
2021-02-01 12:05:00,26.23,44.23
2021-02-01 12:06:00,26.23,44.2
2021-02-01 12:07:00,26.23,44.19
2021-02-01 12:08:00,26.22,44.2
2021-02-01 12:09:00,26.24,44.19
2021-02-01 12:10:00,26.24,44.24
2021-02-01 12:11:00,26.24,44.18
2021-02-01 12:12:00,26.24,44.24
2021-02-01 12:13:00,26.24,44.22
2021-02-01 12:14:00,26.24,44.27
2021-02-01 12:15:00,26.26,44.26
2021-02-01 12:16:00,26.27,44.25
2021-02-01 12:17:00,26.24,44.22
2021-02-01 12:18:00,26.27,44.26
2021-02-01 12:19:00,26.26,44.26
2021-02-01 12:20:00,26.26,44.26
2021-02-01 12:21:00,26.26,44.14
2021-02-01 12:22:00,26.26,44.07
2021-02-01 12:23:00,26.29,44.05
2021-02-01 12:24:00,26.29,44.08
2021-02-01 12:25:00,26.27,43.94
2021-02-01 12:26:00,26.27,43.98
2021-02-01 12:27:00,26.24,44.06
2021-02-01 12:28:00,26.27,44.02
2021-02-01 12:29:00,26.27,44.09
2021-02-01 12:30:00,26.3,44.09
2021-02-01 12:31:00,26.31,44.09
2021-02-01 12:32:00,26.3,43.99
2021-02-01 12:33:00,26.3,43.99
2021-02-01 12:34:00,26.29,43.95
2021-02-01 12:35:00,26.3,43.95
2021-02-01 12:36:00,26.29,43.92
2021-02-01 12:37:00,26.3,43.95
2021-02-01 12:38:00,26.33,43.87
2021-02-01 12:39:00,26.27,43.81
2021-02-01 12:40:00,26.3,43.84
2021-02-01 12:41:00,26.29,43.82
2021-02-01 12:42:00,26.3,43.83
2021-02-01 12:43:00,26.29,43.9
2021-02-01 12:44:00,26.3,43.9
2021-02-01 12:45:00,26.3,43.88
2021-02-01 12:46:00,26.29,43.87
2021-02-01 12:47:00,26.31,43.85
2021-02-01 12:48:00,26.29,43.84
2021-02-01 12:49:00,26.3,43.9
2021-02-01 12:50:00,26.31,43.88
2021-02-01 12:51:00,26.3,43.88
2021-02-01 12:52:00,26.3,43.86
2021-02-01 12:53:00,26.29,43.91
2021-02-01 12:54:00,26.3,43.86
2021-02-01 12:55:00,26.3,43.95
2021-02-01 12:56:00,26.3,43.9
2021-02-01 12:57:00,26.31,43.88
2021-02-01 12:58:00,26.3,43.87
2021-02-01 12:59:00,26.33,43.89
2021-02-01 13:00:00,26.31,43.86
2021-02-01 13:01:00,26.34,43.8
2021-02-01 13:02:00,26.31,43.76
2021-02-01 13:03:00,26.33,43.74
2021-02-01 13:04:00,26.34,43.73
2021-02-01 13:05:00,26.33,43.75
2021-02-01 13:06:00,26.34,43.7
2021-02-01 13:07:00,26.34,43.67
2021-02-01 13:08:00,26.33,43.74
2021-02-01 13:09:00,26.31,43.78
2021-02-01 13:10:00,26.33,43.85
2021-02-01 13:11:00,26.33,43.86
2021-02-01 13:12:00,26.34,43.93
2021-02-01 13:13:00,26.36,43.99
2021-02-01 13:14:00,26.37,44
2021-02-01 13:15:00,26.36,44.06
2021-02-01 13:16:00,26.34,44.03
2021-02-01 13:17:00,26.34,44.07
2021-02-01 13:18:00,26.34,44.03
2021-02-01 13:19:00,26.37,44.03
2021-02-01 13:20:00,26.36,44.02
2021-02-01 13:21:00,26.36,43.97
2021-02-01 13:22:00,26.37,43.96
2021-02-01 13:23:00,26.36,44
2021-02-01 13:24:00,26.38,43.92
2021-02-01 13:25:00,26.37,43.85
2021-02-01 13:26:00,26.37,43.85
2021-02-01 13:27:00,26.36,43.84
2021-02-01 13:28:00,26.36,43.84
2021-02-01 13:29:00,26.37,43.88
2021-02-01 13:30:00,26.37,43.87
2021-02-01 13:31:00,26.41,43.8
2021-02-01 13:32:00,26.38,43.77
2021-02-01 13:33:00,26.4,43.72
2021-02-01 13:34:00,26.38,43.78
2021-02-01 13:35:00,26.37,43.69
2021-02-01 13:36:00,26.4,43.73
2021-02-01 13:37:00,26.37,43.66
2021-02-01 13:38:00,26.38,43.74
2021-02-01 13:39:00,26.37,43.67
2021-02-01 13:40:00,26.4,43.72
2021-02-01 13:41:00,26.38,43.74
2021-02-01 13:42:00,26.37,43.8
2021-02-01 13:43:00,26.38,43.73
2021-02-01 13:44:00,26.37,43.74
2021-02-01 13:45:00,26.38,43.74
2021-02-01 13:46:00,26.38,43.81
2021-02-01 13:47:00,26.38,43.83
2021-02-01 13:48:00,26.37,43.8
2021-02-01 13:49:00,26.36,43.83
2021-02-01 13:50:00,26.36,43.74
2021-02-01 13:51:00,26.36,43.8
2021-02-01 13:52:00,26.38,43.76
2021-02-01 13:53:00,26.37,43.8
2021-02-01 13:54:00,26.33,43.81
2021-02-01 13:55:00,26.36,43.91
2021-02-01 13:56:00,26.33,43.92
2021-02-01 13:57:00,26.34,43.94
2021-02-01 13:58:00,26.34,44
2021-02-01 13:59:00,26.34,44.04
2021-02-01 14:00:00,26.33,44.02
2021-02-01 14:01:00,26.37,44.02
2021-02-01 14:02:00,26.36,44.1
2021-02-01 14:03:00,26.34,44.01
2021-02-01 14:04:00,26.34,44.1
2021-02-01 14:05:00,26.34,43.97
2021-02-01 14:06:00,26.33,44.04
2021-02-01 14:07:00,26.34,44.05
2021-02-01 14:08:00,26.33,44.13
2021-02-01 14:09:00,26.3,44.2
2021-02-01 14:10:00,26.29,44.2
2021-02-01 14:11:00,26.3,44.25
2021-02-01 14:12:00,26.31,44.23
2021-02-01 14:13:00,26.3,44.27
2021-02-01 14:14:00,26.3,44.25
2021-02-01 14:15:00,26.27,44.44
2021-02-01 14:16:00,26.27,44.51
2021-02-01 14:17:00,26.29,44.51
2021-02-01 14:18:00,26.29,44.5
2021-02-01 14:19:00,26.3,44.45
2021-02-01 14:20:00,26.29,44.35
2021-02-01 14:21:00,26.29,44.25
2021-02-01 14:22:00,26.3,44.14
2021-02-01 14:23:00,26.27,44.1
2021-02-01 14:24:00,26.3,44.12
2021-02-01 14:25:00,26.29,44.13
2021-02-01 14:26:00,26.29,44.05
2021-02-01 14:27:00,26.27,44.47
2021-02-01 14:28:00,26.3,46.9
2021-02-01 14:29:00,26.3,47.44
2021-02-01 14:30:00,26.3,48.75
2021-02-01 14:31:00,26.33,49.64
2021-02-01 14:32:00,26.36,49.71
2021-02-01 14:33:00,26.33,49.17
2021-02-01 14:34:00,26.33,47.94
2021-02-01 14:35:00,26.31,46.78
2021-02-01 14:36:00,26.31,46.29
2021-02-01 14:37:00,26.3,45.92
2021-02-01 14:38:00,26.33,45.73
2021-02-01 14:39:00,26.29,45.47
2021-02-01 14:40:00,26.27,45.3
2021-02-01 14:41:00,26.27,45.23
2021-02-01 14:42:00,26.31,45.43
2021-02-01 14:43:00,26.29,45.3
2021-02-01 14:44:00,26.33,45.16
2021-02-01 14:45:00,26.31,45.05
2021-02-01 14:46:00,26.34,45.13
2021-02-01 14:47:00,26.34,45.2
2021-02-01 14:48:00,26.37,45.16
2021-02-01 14:49:00,26.37,45.18
2021-02-01 14:50:00,26.4,45.22
2021-02-01 14:51:00,26.41,45.06
2021-02-01 14:52:00,26.38,45.06
2021-02-01 14:53:00,26.38,44.92
2021-02-01 14:54:00,26.4,44.95
2021-02-01 14:55:00,26.38,45
2021-02-01 14:56:00,26.43,44.94
2021-02-01 14:57:00,26.4,44.99
2021-02-01 14:58:00,26.37,45.04
2021-02-01 14:59:00,26.43,44.95
2021-02-01 15:00:00,26.44,44.95
2021-02-01 15:01:00,26.47,44.99
2021-02-01 15:02:00,26.48,44.88
2021-02-01 15:03:00,26.54,44.8
2021-02-01 15:04:00,26.51,44.78
2021-02-01 15:05:00,26.53,44.79
2021-02-01 15:06:00,26.51,44.81
2021-02-01 15:07:00,26.55,44.67
2021-02-01 15:08:00,26.57,44.68
2021-02-01 15:09:00,26.57,44.52
2021-02-01 15:10:00,26.59,44.3
2021-02-01 15:11:00,26.59,44.38
2021-02-01 15:12:00,26.59,44.45
2021-02-01 15:13:00,26.62,44.58
2021-02-01 15:14:00,26.61,44.71
2021-02-01 15:15:00,26.62,44.48
2021-02-01 15:16:00,26.62,44.48
2021-02-01 15:17:00,26.61,44.43
2021-02-01 15:18:00,26.64,44.42
2021-02-01 15:19:00,26.65,44.43
2021-02-01 15:20:00,26.67,44.37
2021-02-01 15:21:00,26.69,44.41
2021-02-01 15:22:00,26.67,44.35
2021-02-01 15:23:00,26.68,44.37
2021-02-01 15:24:00,26.69,44.14
2021-02-01 15:25:00,26.68,44.18
2021-02-01 15:26:00,26.69,44.06
2021-02-01 15:27:00,26.69,44.2
2021-02-01 15:28:00,26.68,44.22
2021-02-01 15:29:00,26.69,44.16
2021-02-01 15:30:00,26.67,44.31
2021-02-01 15:31:00,26.68,44.29
2021-02-01 15:32:00,26.67,44.26
2021-02-01 15:33:00,26.67,44.3
2021-02-01 15:34:00,26.71,44.38
2021-02-01 15:35:00,26.68,44.38
2021-02-01 15:36:00,26.69,44.52
2021-02-01 15:37:00,26.69,44.44
2021-02-01 15:38:00,26.71,44.33
2021-02-01 15:39:00,26.68,44.27
2021-02-01 15:40:00,26.72,44.37
2021-02-01 15:41:00,26.71,44.27
2021-02-01 15:42:00,26.69,44.27
2021-02-01 15:43:00,26.69,44.23
2021-02-01 15:44:00,26.68,44.08
2021-02-01 15:45:00,26.71,44.1
2021-02-01 15:46:00,26.71,44
2021-02-01 15:47:00,26.68,43.99
2021-02-01 15:48:00,26.72,43.81
2021-02-01 15:49:00,26.71,43.78
2021-02-01 15:50:00,26.74,43.86
2021-02-01 15:51:00,26.77,44.04
2021-02-01 15:52:00,26.72,43.98
2021-02-01 15:53:00,26.75,44.06
2021-02-01 15:54:00,26.77,44.06
2021-02-01 15:55:00,26.77,44.01
2021-02-01 15:56:00,26.74,44.02
2021-02-01 15:57:00,26.78,43.94
2021-02-01 15:58:00,26.77,43.98
2021-02-01 15:59:00,26.77,43.98
2021-02-01 16:00:00,26.78,44.01
2021-02-01 16:01:00,26.75,44.02
2021-02-01 16:02:00,26.75,44.06
2021-02-01 16:03:00,26.78,44.23
2021-02-01 16:04:00,26.74,44.04
2021-02-01 16:05:00,26.75,44.17
2021-02-01 16:06:00,26.74,44.03
2021-02-01 16:07:00,26.75,44.24
2021-02-01 16:08:00,26.72,44.1
2021-02-01 16:09:00,26.74,44.14
2021-02-01 16:10:00,26.72,44.15
2021-02-01 16:11:00,26.74,43.97
2021-02-01 16:12:00,26.71,44.03
2021-02-01 16:13:00,26.74,43.95
2021-02-01 16:14:00,26.71,43.89
2021-02-01 16:15:00,26.71,43.93
2021-02-01 16:16:00,26.69,43.91
2021-02-01 16:17:00,26.68,43.83
2021-02-01 16:18:00,26.68,43.79
2021-02-01 16:19:00,26.67,43.86
2021-02-01 16:20:00,26.65,43.77
2021-02-01 16:21:00,26.65,43.73
2021-02-01 16:22:00,26.64,43.88
2021-02-01 16:23:00,26.64,43.99
2021-02-01 16:24:00,26.65,43.95
2021-02-01 16:25:00,26.61,43.92
2021-02-01 16:26:00,26.64,43.86
2021-02-01 16:27:00,26.64,43.79
2021-02-01 16:28:00,26.64,43.84
2021-02-01 16:29:00,26.62,43.86
2021-02-01 16:30:00,26.64,43.9
2021-02-01 16:31:00,26.64,43.88
2021-02-01 16:32:00,26.62,43.91
2021-02-01 16:33:00,26.62,43.84
2021-02-01 16:34:00,26.62,43.88
2021-02-01 16:35:00,26.61,43.81
2021-02-01 16:36:00,26.61,43.8
2021-02-01 16:37:00,26.61,43.8
2021-02-01 16:38:00,26.64,43.77
2021-02-01 16:39:00,26.59,43.83
2021-02-01 16:40:00,26.59,43.85
2021-02-01 16:41:00,26.61,43.8
2021-02-01 16:42:00,26.59,43.85
2021-02-01 16:43:00,26.58,43.97
2021-02-01 16:44:00,26.58,43.93
2021-02-01 16:45:00,26.55,43.89
2021-02-01 16:46:00,26.57,43.89
2021-02-01 16:47:00,26.57,43.89
2021-02-01 16:48:00,26.54,43.85
2021-02-01 16:49:00,26.55,43.89
2021-02-01 16:50:00,26.57,43.9
2021-02-01 16:51:00,26.55,43.93
2021-02-01 16:52:00,26.54,43.87
2021-02-01 16:53:00,26.53,43.94
2021-02-01 16:54:00,26.54,43.91
2021-02-01 16:55:00,26.51,43.86
2021-02-01 16:56:00,26.51,43.9
2021-02-01 16:57:00,26.51,43.86
2021-02-01 16:58:00,26.53,43.93
2021-02-01 16:59:00,26.5,43.86
2021-02-01 17:00:00,26.5,43.91
2021-02-01 17:01:00,26.53,43.98
2021-02-01 17:02:00,26.51,43.99
2021-02-01 17:03:00,26.51,43.97
2021-02-01 17:04:00,26.5,44.07
2021-02-01 17:05:00,26.5,44.03
2021-02-01 17:06:00,26.48,44.04
2021-02-01 17:07:00,26.48,43.97
2021-02-01 17:08:00,26.48,43.99
2021-02-01 17:09:00,26.47,43.97
2021-02-01 17:10:00,26.47,43.92
2021-02-01 17:11:00,26.47,43.85
2021-02-01 17:12:00,26.48,43.86
2021-02-01 17:13:00,26.47,43.96
2021-02-01 17:14:00,26.47,44
2021-02-01 17:15:00,26.44,44.09
2021-02-01 17:16:00,26.47,44.22
2021-02-01 17:17:00,26.47,44.16
2021-02-01 17:18:00,26.48,44.1
2021-02-01 17:19:00,26.46,44.03
2021-02-01 17:20:00,26.46,43.92
2021-02-01 17:21:00,26.46,43.86
2021-02-01 17:22:00,26.46,43.82
2021-02-01 17:23:00,26.46,43.86
2021-02-01 17:24:00,26.47,43.89
2021-02-01 17:25:00,26.44,43.97
2021-02-01 17:26:00,26.43,44.01
2021-02-01 17:27:00,26.46,44.07
2021-02-01 17:28:00,26.41,43.97
2021-02-01 17:29:00,26.46,43.98
2021-02-01 17:30:00,26.44,43.86
2021-02-01 17:31:00,26.46,43.86
2021-02-01 17:32:00,26.44,43.82
2021-02-01 17:33:00,26.43,43.86
2021-02-01 17:34:00,26.44,43.78
2021-02-01 17:35:00,26.46,43.84
2021-02-01 17:36:00,26.44,43.79
2021-02-01 17:37:00,26.44,43.88
2021-02-01 17:38:00,26.41,43.83
2021-02-01 17:39:00,26.44,43.85
2021-02-01 17:40:00,26.4,43.91
2021-02-01 17:41:00,26.43,43.9
2021-02-01 17:42:00,26.41,43.94
2021-02-01 17:43:00,26.4,43.98
