Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2021-02-01 06:40:00,24.32,47.81
2021-02-01 06:41:00,24.31,47.8
2021-02-01 06:42:00,24.31,47.78
2021-02-01 06:43:00,24.31,47.79
2021-02-01 06:44:00,24.31,47.8
2021-02-01 06:45:00,24.31,47.76
2021-02-01 06:46:00,24.29,47.77
2021-02-01 06:47:00,24.29,47.76
2021-02-01 06:48:00,24.29,47.72
2021-02-01 06:49:00,24.31,47.71
2021-02-01 06:50:00,24.31,47.7
2021-02-01 06:51:00,24.31,47.69
2021-02-01 06:52:00,24.29,47.68
2021-02-01 06:53:00,24.29,47.69
2021-02-01 06:54:00,24.31,47.68
2021-02-01 06:55:00,24.31,47.69
2021-02-01 06:56:00,24.31,47.7
2021-02-01 06:57:00,24.32,47.72
2021-02-01 06:58:00,24.32,47.72
2021-02-01 06:59:00,24.32,47.71
2021-02-01 07:00:00,24.32,47.75
2021-02-01 07:01:00,24.32,47.76
2021-02-01 07:02:00,24.34,47.81
2021-02-01 07:03:00,24.32,47.84
2021-02-01 07:04:00,24.32,47.87
2021-02-01 07:05:00,24.32,47.88
2021-02-01 07:06:00,24.31,47.84
2021-02-01 07:07:00,24.32,47.88
2021-02-01 07:08:00,24.29,47.87
2021-02-01 07:09:00,24.31,47.87
2021-02-01 07:10:00,24.31,47.85
2021-02-01 07:11:00,24.31,47.89
2021-02-01 07:12:00,24.31,47.88
2021-02-01 07:13:00,24.31,47.88
2021-02-01 07:14:00,24.31,47.89
2021-02-01 07:15:00,24.31,47.94
2021-02-01 07:16:00,24.31,47.98
2021-02-01 07:17:00,24.31,48.03
2021-02-01 07:18:00,24.29,48.03
2021-02-01 07:19:00,24.31,48.05
2021-02-01 07:20:00,24.31,47.96
2021-02-01 07:21:00,24.31,47.91
2021-02-01 07:22:00,24.31,47.83
2021-02-01 07:23:00,24.31,47.75
2021-02-01 07:24:00,24.31,47.71
2021-02-01 07:25:00,24.32,47.66
2021-02-01 07:26:00,24.31,47.64
2021-02-01 07:27:00,24.31,47.61
2021-02-01 07:28:00,24.32,47.6
2021-02-01 07:29:00,24.32,47.59
2021-02-01 07:30:00,24.31,47.61
2021-02-01 07:31:00,24.31,47.65
2021-02-01 07:32:00,24.34,47.69
2021-02-01 07:33:00,24.31,47.74
2021-02-01 07:34:00,24.31,47.75
2021-02-01 07:35:00,24.31,47.72
2021-02-01 07:36:00,24.31,47.77
2021-02-01 07:37:00,24.31,47.76
2021-02-01 07:38:00,24.31,47.76
2021-02-01 07:39:00,24.31,47.78
2021-02-01 07:40:00,24.29,47.81
2021-02-01 07:41:00,24.31,47.8
2021-02-01 07:42:00,24.29,47.82
2021-02-01 07:43:00,24.29,47.82
2021-02-01 07:44:00,24.29,47.84
2021-02-01 07:45:00,24.29,47.83
2021-02-01 07:46:00,24.31,47.8
2021-02-01 07:47:00,24.31,47.76
2021-02-01 07:48:00,24.29,47.77
2021-02-01 07:49:00,24.31,47.77
2021-02-01 07:50:00,24.31,47.77
2021-02-01 07:51:00,24.29,47.78
2021-02-01 07:52:00,24.31,47.76
2021-02-01 07:53:00,24.29,47.77
2021-02-01 07:54:00,24.29,47.8
2021-02-01 07:55:00,24.31,47.8
2021-02-01 07:56:00,24.31,47.8
2021-02-01 07:57:00,24.31,47.83
2021-02-01 07:58:00,24.32,47.83
2021-02-01 07:59:00,24.32,47.83
2021-02-01 08:00:00,24.32,47.84
2021-02-01 08:01:00,24.32,47.85
2021-02-01 08:02:00,24.32,47.84
2021-02-01 08:03:00,24.32,47.89
2021-02-01 08:04:00,24.32,47.92
2021-02-01 08:05:00,24.32,47.88
2021-02-01 08:06:00,24.32,47.9
2021-02-01 08:07:00,24.32,47.84
2021-02-01 08:08:00,24.35,47.85
2021-02-01 08:09:00,24.37,47.81
2021-02-01 08:10:00,24.38,47.8
2021-02-01 08:11:00,24.41,47.73
2021-02-01 08:12:00,24.45,47.7
2021-02-01 08:13:00,24.48,47.65
2021-02-01 08:14:00,24.52,47.66
2021-02-01 08:15:00,24.55,47.63
2021-02-01 08:16:00,24.58,47.58
2021-02-01 08:17:00,24.61,47.51
2021-02-01 08:18:00,24.65,47.41
2021-02-01 08:19:00,24.7,47.33
2021-02-01 08:20:00,24.73,47.25
2021-02-01 08:21:00,24.76,47.19
