Experiment Name:,Exp_20210224_2

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
H100M1,,3993518,20451,143,100.00 %,0.51 %,0.00 %,100.00 %,0.51 %,0.00 %,44372.34,227.23,1.59,3.0,852.4,1071.6,-0.3,776.0,562.5,-1.3,799.8,502.7,9522.85 %,38.11 %,89.07 %,123.8,304.8,447.7,8879.51 %,45.23 %,175.41 %,265.6,385.5,1879.6,10.6,2773.7,34668.8,-1.9,2421.0,21531.9,-5.7,2528.2,17652.4,4884.78 %,50.10 %,66.13 %,278.4,1266.6,11672.7,7191.03 %,53.07 %,154.51 %,759.7,1472.0,53566.4,99.7,15159.4,2743.8,19.7,14479.7,188.1,23.7,13908.5,150.1,1087.87 %,25.58 %,264.12 %,257.8,3557.5,396.4,1188.10 %,35.09 %,555.35 %,1184.5,5319.2,15237.9,2.5,103.3,516.1,1.6,75.6,109.4,2.3,107.6,114.6,9114.77 %,249.95 %,236.23 %,209.6,268.9,270.7,8556.26 %,272.75 %,780.89 %,217.2,281.8,4030.4,20.5,1073.8,137.2,12.6,1072.1,81.9,16.8,1072.7,111.0,1115.00 %,4.66 %,246.17 %,187.3,50.0,273.3,1014.05 %,5.97 %,285.73 %,207.9,64.1,392.0
H100M2,,4341020,22774,174,100.00 %,0.52 %,0.00 %,100.00 %,0.52 %,0.00 %,48233.57,253.04,1.93,3.0,866.3,1006.8,-0.4,788.8,439.9,-1.3,808.0,445.6,9431.62 %,36.62 %,113.19 %,122.6,295.9,504.4,8005.93 %,46.72 %,172.29 %,240.8,404.7,1734.6,10.8,2812.7,30918.8,-1.9,2450.3,19381.9,-5.6,2558.8,16367.0,4879.34 %,50.06 %,65.20 %,273.2,1280.9,10670.6,6761.04 %,55.15 %,158.09 %,731.6,1551.3,48880.0,102.0,15264.7,3181.6,19.6,14538.0,224.9,23.5,13949.1,112.1,1082.61 %,25.54 %,261.32 %,254.4,3562.8,292.8,1191.96 %,37.35 %,469.50 %,1216.2,5701.2,14937.4,2.6,111.5,207.8,1.6,80.8,92.0,2.4,112.4,78.5,8623.79 %,233.83 %,356.30 %,207.0,262.9,279.7,8243.39 %,245.19 %,340.67 %,212.2,273.4,707.8,20.6,1071.9,188.8,12.6,1070.2,102.2,16.7,1070.8,84.9,1108.70 %,4.66 %,260.89 %,184.9,49.9,221.5,1000.05 %,5.91 %,205.71 %,205.6,63.3,388.4
H100M3,,4373394,22720,163,100.00 %,0.52 %,0.00 %,100.00 %,0.52 %,0.00 %,48593.13,252.44,1.81,3.0,867.7,799.1,-0.3,790.2,409.2,-1.2,810.1,403.2,10180.52 %,37.31 %,106.23 %,122.2,302.2,428.3,6418.58 %,46.34 %,148.90 %,191.2,402.1,1189.9,10.1,2810.5,27742.1,-2.1,2448.3,18616.0,-5.7,2550.4,16225.4,4752.12 %,49.50 %,64.27 %,270.9,1262.5,10427.7,5946.30 %,55.67 %,133.85 %,599.9,1564.7,37133.8,100.8,15268.9,1671.7,19.4,14556.5,128.9,23.4,13968.3,103.0,1081.54 %,25.74 %,291.63 %,253.1,3595.3,300.4,1194.20 %,37.05 %,651.58 %,1203.8,5657.0,10892.3,2.6,114.8,207.9,1.7,83.3,64.8,2.4,114.9,84.5,8562.01 %,223.13 %,276.34 %,205.5,256.3,233.5,8163.14 %,234.49 %,490.91 %,210.4,269.3,1020.6,20.2,1071.7,136.1,12.5,1069.8,69.1,16.5,1070.2,69.6,1111.50 %,4.65 %,284.98 %,183.9,49.8,198.3,1009.91 %,6.32 %,239.93 %,204.2,67.7,326.6
H101A1,,4358982,22007,148,100.00 %,0.50 %,0.00 %,100.00 %,0.50 %,0.00 %,48433.13,244.52,1.64,3.3,907.9,976.6,-0.3,830.6,516.7,-1.2,848.8,487.1,10180.52 %,37.03 %,84.62 %,122.2,314.3,412.2,7407.87 %,44.76 %,146.35 %,245.5,406.4,1429.3,11.1,2854.1,31130.1,-1.7,2549.3,21175.9,-5.2,2621.8,16774.3,5183.40 %,43.50 %,60.25 %,269.5,1140.4,10106.3,7122.82 %,50.81 %,117.70 %,788.9,1450.0,36639.4,99.7,15338.5,2238.1,19.8,14626.0,189.2,23.9,14015.7,96.9,1055.19 %,25.48 %,335.99 %,252.2,3571.7,325.6,1199.55 %,36.09 %,383.41 %,1195.4,5535.5,8581.3,2.5,131.0,202.8,1.6,96.0,74.4,2.3,131.3,79.1,8902.05 %,197.72 %,328.78 %,204.7,259.6,259.9,8442.51 %,204.05 %,414.34 %,209.9,267.3,840.3,20.5,1067.1,169.7,12.8,1065.5,91.1,16.9,1066.1,67.1,1083.36 %,4.62 %,352.27 %,183.2,49.2,236.4,987.69 %,5.80 %,215.61 %,202.9,61.9,365.9
H101A2,,4349202,21545,116,100.00 %,0.50 %,0.00 %,100.00 %,0.50 %,0.00 %,48324.54,239.39,1.29,3.1,907.0,1263.6,-0.3,831.1,568.7,-1.3,849.9,580.3,9374.59 %,36.51 %,118.19 %,121.9,310.3,685.8,7259.47 %,44.10 %,133.23 %,226.7,400.0,1683.6,10.1,2861.6,33505.3,-2.0,2556.5,21551.6,-5.2,2632.3,17031.7,5169.14 %,43.98 %,61.17 %,268.8,1157.8,10418.9,6950.58 %,50.20 %,120.45 %,703.2,1436.7,40356.3,98.0,15331.9,3310.9,19.6,14632.4,319.6,23.5,14036.4,135.2,1071.26 %,25.44 %,245.58 %,251.7,3571.4,332.0,1206.83 %,35.53 %,279.43 %,1182.2,5448.2,9251.6,2.5,135.9,186.0,1.5,98.4,105.1,2.2,135.9,107.4,9293.21 %,188.95 %,247.05 %,204.5,256.8,265.5,8306.82 %,196.21 %,238.99 %,208.7,266.6,444.5,20.3,1066.4,230.5,12.6,1064.8,118.6,16.6,1065.4,98.2,1098.92 %,4.67 %,248.05 %,182.9,49.7,243.5,998.50 %,5.63 %,185.75 %,202.3,60.1,428.1
H101A3,,4386131,22192,107,100.00 %,0.51 %,0.00 %,100.00 %,0.51 %,0.00 %,48734.71,246.58,1.19,3.3,911.6,1258.5,-0.2,830.6,486.5,-1.2,850.8,465.0,10168.16 %,37.01 %,108.28 %,122.0,314.9,503.5,7332.47 %,45.80 %,201.74 %,244.6,417.5,2538.8,10.3,2854.2,35216.9,-2.0,2546.5,20011.7,-5.6,2611.0,16924.6,4791.97 %,44.10 %,65.52 %,268.4,1151.4,11088.8,8940.45 %,51.44 %,171.22 %,923.0,1468.2,60297.2,100.2,15446.4,4646.2,19.6,14718.5,203.9,23.6,14097.5,111.3,1064.83 %,25.50 %,282.80 %,251.3,3595.1,314.8,1231.21 %,37.21 %,373.27 %,1234.1,5747.5,17342.6,2.4,139.9,207.1,1.6,101.9,114.7,2.3,139.9,104.1,8876.26 %,185.78 %,258.35 %,204.2,259.9,268.9,8538.19 %,192.60 %,220.48 %,208.4,269.5,456.7,20.3,1072.3,198.1,12.6,1070.4,77.8,16.7,1070.0,81.6,1092.92 %,4.64 %,269.67 %,182.5,49.7,220.0,994.56 %,6.39 %,222.72 %,202.3,68.5,441.1
H102A1,,4354874,23663,116,100.00 %,0.54 %,0.00 %,100.00 %,0.54 %,0.00 %,48387.25,262.92,1.29,3.6,944.6,1311.1,-0.2,868.3,623.6,-1.2,890.7,524.7,10143.45 %,36.19 %,109.77 %,121.7,322.3,575.9,5868.95 %,43.28 %,138.40 %,210.1,408.8,1814.6,10.6,2920.2,35724.0,-2.5,2651.2,22354.0,-6.3,2690.8,17043.2,4259.53 %,39.41 %,65.31 %,268.4,1060.4,11131.6,8373.42 %,48.02 %,127.49 %,885.8,1402.3,45545.8,105.9,15503.1,3800.0,19.7,14827.0,391.1,23.3,14251.7,186.6,1078.54 %,24.65 %,199.52 %,251.3,3512.7,372.2,1172.30 %,35.24 %,324.07 %,1240.9,5463.4,12314.6,2.8,154.9,173.8,1.7,113.4,55.8,2.3,153.6,60.8,8876.26 %,170.65 %,395.93 %,204.2,262.1,240.9,7592.55 %,172.79 %,331.19 %,209.4,267.7,575.7,20.5,1068.6,285.4,12.5,1066.9,150.9,16.5,1066.9,143.5,1104.77 %,4.51 %,187.19 %,182.5,48.2,268.7,991.11 %,6.14 %,156.11 %,203.2,65.6,445.6
H102A2,,4378402,24205,106,100.00 %,0.55 %,0.00 %,100.00 %,0.55 %,0.00 %,48648.89,268.94,1.18,3.6,940.4,731.0,-0.2,863.9,397.1,-1.2,882.6,358.5,10143.45 %,37.01 %,93.53 %,121.7,326.6,335.4,6218.34 %,43.14 %,146.84 %,226.7,405.7,1073.5,10.2,2921.1,24078.7,-2.5,2652.7,16573.7,-6.3,2706.3,13821.4,4261.89 %,39.67 %,52.69 %,268.5,1073.6,7281.9,5548.40 %,47.28 %,139.37 %,567.4,1381.0,33559.0,107.0,15480.7,1038.9,19.6,14817.9,123.2,23.3,14231.7,122.9,1077.91 %,25.14 %,227.36 %,251.2,3577.7,279.5,1163.54 %,34.15 %,389.63 %,1244.8,5286.9,4048.1,2.6,158.4,157.8,1.6,116.1,83.9,2.4,157.8,91.0,8494.06 %,162.35 %,232.82 %,203.9,256.2,211.9,7975.57 %,169.06 %,289.95 %,208.1,267.8,457.6,20.4,1069.4,117.9,12.4,1067.7,66.0,16.5,1068.0,92.6,1103.13 %,4.53 %,227.02 %,182.3,48.4,210.2,995.20 %,5.91 %,269.51 %,203.4,63.2,317.8
H102A3,,4385113,23936,87,100.00 %,0.55 %,0.00 %,100.00 %,0.55 %,0.00 %,48723.58,265.96,0.97,3.7,945.9,1086.6,-0.2,867.6,527.7,-1.3,886.2,508.2,9363.19 %,36.87 %,90.99 %,121.7,326.8,462.4,6687.62 %,43.64 %,173.01 %,245.9,412.8,1879.9,10.3,2924.1,27981.9,-2.5,2647.5,18833.1,-6.5,2687.6,16093.4,4128.47 %,39.85 %,51.82 %,268.4,1071.0,8339.6,6614.07 %,48.29 %,140.60 %,682.4,1412.2,39342.5,106.0,15551.5,3688.4,19.5,14853.3,346.4,23.0,14267.5,202.3,1092.61 %,25.24 %,131.26 %,251.3,3601.2,265.5,1172.30 %,35.54 %,313.74 %,1242.9,5526.5,11571.8,2.7,158.0,432.7,1.7,115.8,142.8,2.4,156.6,184.3,8500.24 %,164.45 %,149.79 %,204.0,257.5,276.1,7751.30 %,170.35 %,432.23 %,208.5,269.2,1870.1,20.2,1066.9,254.9,12.4,1065.3,145.6,16.3,1065.9,139.2,1120.47 %,4.64 %,159.64 %,182.4,49.4,222.2,1004.64 %,5.83 %,156.60 %,203.1,62.2,399.2
H103A1,,4385257,24477,93,100.00 %,0.56 %,0.00 %,100.00 %,0.56 %,0.00 %,48725.10,271.97,1.03,3.9,982.9,1108.2,-0.3,908.1,575.0,-1.4,923.5,598.9,8715.57 %,35.85 %,94.81 %,122.0,331.1,567.8,6589.39 %,41.71 %,170.52 %,257.4,410.0,1889.8,11.8,3031.8,31204.0,-2.9,2766.3,20105.2,-7.3,2808.5,16681.7,3674.00 %,38.09 %,62.57 %,268.2,1069.8,10437.8,17055.53 %,46.47 %,164.24 %,2006.1,1408.8,51250.0,111.6,16013.7,2617.1,19.7,15317.5,204.7,23.4,14764.5,141.2,1073.30 %,25.06 %,210.84 %,251.2,3699.8,297.7,1528.99 %,34.24 %,348.66 %,1706.2,5483.8,9124.9,2.7,169.5,87.8,1.7,124.7,39.5,2.5,168.4,63.2,8160.23 %,154.51 %,301.68 %,204.0,260.2,190.7,7746.18 %,158.55 %,324.64 %,208.7,268.8,284.9,20.5,1066.1,205.8,12.5,1064.4,91.1,16.5,1064.3,104.1,1103.45 %,4.44 %,220.32 %,182.4,47.3,229.4,990.73 %,5.90 %,189.72 %,203.2,62.9,390.5
