Experiment Name:,Exp_20210302_3

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
I100M1,,4090605,207,409,100.00 %,0.01 %,0.01 %,100.00 %,0.01 %,0.01 %,45451.08,2.30,4.54,1.3,1043.7,1186.1,0.3,942.6,558.9,0.6,970.1,566.0,20558.72 %,41.31 %,107.48 %,123.4,400.7,608.3,25404.48 %,49.91 %,153.43 %,324.0,520.9,1819.8,10.9,3416.5,41652.0,2.7,2824.3,24542.0,2.7,2704.6,18749.1,10284.85 %,55.34 %,77.04 %,277.7,1496.7,14444.8,15518.02 %,81.77 %,137.58 %,1696.7,2793.6,57304.9,31.4,14118.3,6515.4,21.5,12236.7,208.8,30.2,11975.5,146.2,850.29 %,45.93 %,217.12 %,256.8,5500.3,317.4,1246.24 %,69.68 %,396.23 %,391.6,9837.0,25816.1,3.4,759.0,6318.1,1.7,513.9,185.8,2.5,631.0,117.9,8433.03 %,120.77 %,232.89 %,210.8,762.1,274.6,10093.64 %,90.97 %,394.03 %,346.0,690.4,24895.2,21.3,1032.9,163.0,15.3,1030.2,83.7,21.5,1051.2,105.4,869.73 %,6.39 %,217.31 %,187.3,67.2,229.0,920.47 %,7.15 %,210.56 %,195.7,73.9,343.3
I100M2,,4006057,133,272,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,44511.51,1.48,3.02,0.9,1002.2,1196.1,0.2,931.0,520.1,0.5,980.5,459.1,24551.86 %,31.44 %,103.76 %,122.8,308.2,476.4,16745.33 %,41.11 %,168.23 %,147.3,412.0,2012.3,14.4,3511.9,42951.1,2.6,3048.6,23490.6,2.8,3104.4,18421.8,9737.50 %,46.29 %,70.50 %,272.7,1437.1,12988.1,34913.54 %,63.06 %,160.34 %,5018.4,2214.6,68869.7,30.4,15201.3,3492.7,21.2,14089.7,99.7,29.5,14750.2,81.9,859.91 %,33.69 %,324.67 %,253.7,4969.8,265.9,1030.48 %,41.79 %,516.85 %,313.1,6352.5,18052.0,2.8,279.1,3049.6,1.5,174.0,111.4,2.4,210.4,104.4,8673.21 %,130.85 %,256.19 %,208.2,275.3,267.5,9628.96 %,158.99 %,553.08 %,269.9,443.7,16866.9,20.9,1063.5,101.7,15.0,1062.0,42.6,21.1,1070.2,51.9,878.26 %,5.22 %,361.52 %,184.9,55.8,187.7,921.14 %,5.29 %,305.94 %,192.8,56.3,311.0
I100M3,,4041806,111,266,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,44908.84,1.23,2.96,0.9,1098.8,1056.0,0.2,938.9,500.3,0.4,894.0,439.0,30504.50 %,44.61 %,101.27 %,122.0,398.8,444.6,21821.77 %,65.53 %,152.73 %,203.4,720.1,1612.9,8.6,3813.3,39266.3,2.5,3206.0,23254.0,2.7,3411.4,17820.0,10004.80 %,51.46 %,71.41 %,270.1,1755.4,12726.0,12680.66 %,67.79 %,143.76 %,1093.2,2584.9,56450.9,30.1,16453.9,1304.1,21.2,14644.2,109.3,29.7,13890.0,125.2,848.63 %,36.39 %,210.49 %,252.0,5055.1,263.5,947.62 %,61.13 %,751.63 %,285.5,10057.9,9802.1,2.6,271.5,870.9,1.6,186.8,63.9,2.3,259.8,59.2,8972.95 %,113.96 %,410.06 %,206.4,296.1,242.6,8923.01 %,140.33 %,1015.61 %,230.6,381.0,8844.7,20.9,1075.1,103.3,15.0,1073.5,67.3,21.2,1075.0,85.6,865.49 %,5.50 %,224.91 %,183.5,59.1,192.4,914.67 %,5.50 %,258.30 %,191.0,59.1,266.8
I101A1,,4012676,3713,337,100.00 %,0.09 %,0.01 %,100.00 %,0.09 %,0.01 %,44585.25,41.26,3.74,1.5,960.0,902.9,0.1,882.7,467.3,0.0,907.7,461.5,####,37.47 %,101.97 %,122.9,340.1,470.6,9176.03 %,41.55 %,145.67 %,140.0,398.9,1315.2,10.8,3491.1,32325.4,-0.6,3108.8,21286.5,-5.1,3170.8,17301.1,5427.48 %,45.50 %,65.42 %,276.8,1442.6,11318.6,9771.59 %,50.36 %,132.47 %,1060.0,1758.2,42822.2,37.6,10191.7,670.2,20.6,9284.3,73.8,28.2,9253.0,68.3,892.19 %,40.99 %,412.00 %,251.6,3793.2,281.4,1267.64 %,47.89 %,974.33 %,476.6,4881.3,6530.3,2.7,427.6,435.1,1.6,340.3,81.1,2.2,415.4,105.8,9347.12 %,70.45 %,210.76 %,205.6,292.7,223.0,8338.18 %,71.50 %,1290.56 %,222.7,305.7,5614.7,20.4,999.8,75.8,14.3,996.8,44.2,20.1,1006.6,51.7,912.97 %,7.51 %,392.87 %,183.1,75.6,203.2,944.02 %,7.70 %,327.22 %,192.6,77.0,247.9
I101A2,,4053146,3730,346,100.00 %,0.09 %,0.01 %,100.00 %,0.09 %,0.01 %,45034.82,41.44,3.84,1.5,954.2,915.2,0.1,875.3,477.2,0.0,894.2,503.5,####,38.15 %,98.45 %,122.9,341.1,495.6,9343.15 %,43.18 %,151.08 %,136.6,412.1,1382.7,13.0,3469.1,33170.4,-0.5,3089.1,20784.5,-5.2,3151.0,17468.0,5306.00 %,45.09 %,66.55 %,275.9,1420.8,11624.5,36026.18 %,50.96 %,148.26 %,4673.0,1767.7,49177.6,37.3,10326.0,724.2,20.4,9316.7,113.2,28.0,9255.5,108.8,896.44 %,42.97 %,274.44 %,251.0,3977.5,298.6,1169.85 %,51.33 %,533.63 %,436.4,5300.5,3864.4,2.6,420.9,204.8,1.6,333.1,57.4,2.3,412.6,45.8,8914.94 %,71.22 %,516.16 %,205.0,293.9,236.4,8067.47 %,74.10 %,644.15 %,211.6,311.9,1319.4,20.3,1002.2,111.5,14.3,998.8,66.1,19.9,1006.7,75.6,918.06 %,7.55 %,276.55 %,182.6,76.0,209.1,947.08 %,8.18 %,250.29 %,192.0,81.9,279.0
I101A3,,4033383,3849,286,100.00 %,0.10 %,0.01 %,100.00 %,0.10 %,0.01 %,44815.22,42.77,3.18,1.8,954.6,961.4,0.1,876.2,510.0,0.1,900.8,505.4,122611.02 %,37.64 %,95.20 %,122.6,339.1,481.1,14613.38 %,42.73 %,153.86 %,263.2,407.9,1479.2,10.7,3467.8,34266.1,-0.7,3084.3,21580.0,-5.3,3154.6,18068.8,5194.69 %,46.15 %,70.30 %,275.3,1455.9,12702.9,10673.48 %,49.78 %,153.21 %,1147.2,1726.2,52499.6,37.4,10169.6,933.9,20.2,9244.7,82.2,27.9,9118.3,73.6,898.59 %,41.37 %,385.40 %,250.7,3772.2,283.8,1415.13 %,48.40 %,741.03 %,529.3,4922.6,6920.2,2.7,429.0,516.7,1.6,339.8,80.5,2.3,422.6,76.3,8908.49 %,69.53 %,294.29 %,204.9,293.9,224.7,8079.83 %,72.41 %,1145.77 %,215.8,310.6,5920.0,20.0,1001.2,95.7,14.1,997.9,48.3,19.8,1006.0,57.1,920.41 %,7.29 %,355.76 %,182.3,73.4,203.0,956.24 %,8.07 %,284.52 %,191.7,80.8,272.2
I102A1,,4123996,271,245,100.00 %,0.01 %,0.01 %,100.00 %,0.01 %,0.01 %,45822.08,3.01,2.72,0.8,1029.8,957.0,0.2,925.7,544.9,0.4,928.3,509.1,30319.17 %,38.63 %,91.85 %,121.3,358.6,467.6,15864.03 %,50.05 %,129.90 %,129.3,515.5,1243.2,10.4,3642.5,32920.2,2.1,3242.1,22141.0,2.1,3206.5,18681.8,12693.88 %,42.46 %,66.76 %,266.6,1361.6,12472.1,33993.35 %,55.36 %,114.69 %,3548.9,2016.6,37757.4,29.9,13574.7,432.3,20.8,12104.8,54.2,29.2,12336.9,53.8,855.03 %,43.62 %,618.12 %,249.7,5381.1,332.5,952.38 %,53.29 %,940.51 %,285.2,7234.5,4066.0,2.3,358.7,84.6,1.5,287.5,35.4,2.2,344.2,47.2,9293.21 %,85.89 %,453.58 %,204.5,295.6,214.1,9197.01 %,90.26 %,413.60 %,209.7,323.8,349.7,20.4,1036.6,54.3,14.7,1033.9,33.4,20.8,1047.4,41.0,873.33 %,6.35 %,569.14 %,181.4,66.5,233.4,925.19 %,7.07 %,475.55 %,188.8,73.3,258.2
I102A2,,4045345,291,361,100.00 %,0.01 %,0.01 %,100.00 %,0.01 %,0.01 %,44948.04,3.23,4.01,0.9,1014.6,797.9,0.2,915.4,415.8,0.5,953.4,403.1,24196.03 %,39.50 %,99.27 %,121.0,376.6,400.2,25620.24 %,48.82 %,139.23 %,235.8,495.3,1110.9,9.4,3664.8,30258.0,2.1,3198.1,19781.1,2.0,3103.9,14852.7,13313.75 %,39.35 %,56.12 %,266.3,1221.4,8335.8,34346.83 %,63.22 %,122.24 %,3218.6,2316.8,36986.0,29.5,12825.7,495.7,20.5,11463.8,71.8,28.7,12244.8,87.5,869.41 %,47.13 %,285.17 %,249.5,5770.4,249.5,966.97 %,51.75 %,1158.58 %,284.8,6637.8,5743.1,2.5,308.9,382.4,1.6,229.9,40.9,2.5,313.4,48.1,8172.09 %,95.61 %,482.08 %,204.3,299.6,231.9,8572.83 %,101.25 %,1403.92 %,215.6,312.8,5368.2,20.1,1030.7,72.7,14.5,1027.9,50.1,20.4,1037.1,63.2,887.62 %,6.01 %,303.15 %,181.4,62.4,191.6,940.38 %,7.27 %,317.41 %,188.6,74.9,230.8
I102A3,,4058997,240,232,100.00 %,0.01 %,0.01 %,100.00 %,0.01 %,0.01 %,45099.93,2.67,2.58,1.2,982.7,1111.0,0.3,892.4,589.0,0.6,902.0,504.8,20188.07 %,39.05 %,88.94 %,121.1,352.2,449.0,19236.59 %,44.60 %,145.33 %,229.1,438.3,1614.5,7.9,3623.5,40438.0,2.1,3323.2,24083.7,2.2,3371.1,20226.0,12083.19 %,37.64 %,72.27 %,265.8,1269.0,14616.7,12102.91 %,44.83 %,144.89 %,950.3,1624.4,58591.7,29.5,12811.8,209.1,20.7,11629.4,54.5,28.8,12308.7,51.9,865.88 %,44.79 %,501.91 %,249.4,5513.2,260.5,949.89 %,45.16 %,799.52 %,280.0,5786.2,1671.7,2.2,313.4,71.1,1.4,236.3,43.3,2.2,307.3,41.3,9279.73 %,94.72 %,493.18 %,204.2,291.1,203.9,9384.87 %,94.75 %,348.35 %,208.3,297.0,247.6,20.2,1027.5,52.6,14.6,1025.2,36.1,20.5,1036.8,39.3,884.65 %,5.98 %,514.07 %,181.2,62.0,201.8,932.58 %,6.62 %,424.69 %,188.2,68.0,223.3
I103A1,,4168580,221,229,100.00 %,0.01 %,0.01 %,100.00 %,0.01 %,0.01 %,46317.54,2.46,2.54,0.9,1175.3,1107.0,0.2,1047.5,535.7,0.5,1065.0,491.4,24196.03 %,41.53 %,98.60 %,121.0,442.3,484.5,25102.48 %,55.15 %,153.16 %,222.6,648.2,1695.4,7.3,4038.4,40518.7,2.2,3516.6,23378.2,2.9,3513.0,18357.3,9156.33 %,40.44 %,68.86 %,265.5,1420.6,12640.8,12408.60 %,63.54 %,155.28 %,907.5,2566.1,62918.9,29.5,16242.3,249.6,20.4,14316.4,59.1,28.8,14593.2,60.1,865.36 %,46.68 %,502.26 %,249.2,6811.5,301.9,968.34 %,55.37 %,541.33 %,285.4,8994.1,1351.0,2.4,336.5,140.1,1.6,253.7,51.0,2.2,308.4,45.2,9272.99 %,101.68 %,475.94 %,204.0,313.6,215.1,8567.32 %,107.28 %,456.43 %,208.1,361.0,639.7,20.1,1040.8,63.8,14.5,1038.6,35.2,20.5,1053.0,43.5,884.95 %,5.38 %,488.84 %,181.1,56.7,212.7,935.20 %,6.43 %,400.82 %,188.1,66.9,255.7
