Experiment Name:,Exp_20210303_1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
J100M1,,4240719,175,228,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,47118.96,1.94,2.53,1.0,1152.1,1010.5,0.3,1056.8,521.0,0.5,1099.8,525.0,24611.16 %,38.96 %,92.86 %,123.1,428.5,487.5,15446.00 %,43.79 %,138.50 %,154.3,504.5,1399.6,32.3,3894.2,39039.0,2.4,3393.4,23497.9,2.9,3448.4,18343.4,9422.18 %,40.60 %,75.09 %,273.2,1400.2,13774.1,57530.65 %,59.85 %,135.55 %,18571.4,2330.9,52916.6,30.3,21516.7,489.6,21.1,19984.4,175.6,29.4,19887.6,195.1,865.35 %,28.73 %,169.30 %,254.4,5714.5,330.4,980.94 %,39.01 %,342.75 %,297.3,8394.4,1678.1,2.9,2149.6,1091.7,1.5,1517.2,282.4,2.2,1488.9,256.8,9468.42 %,46.36 %,146.99 %,208.3,690.3,377.4,8669.06 %,212.19 %,690.21 %,250.3,4561.3,7534.7,20.7,1097.3,166.4,14.9,1094.9,113.2,20.9,1092.8,145.4,885.94 %,4.07 %,160.08 %,185.2,44.5,232.8,932.06 %,7.35 %,171.07 %,193.0,80.6,284.7
J100M2,,4015719,155,214,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,44618.87,1.72,2.38,1.1,1198.3,1442.8,0.3,1092.3,610.6,0.5,1131.6,574.5,24462.90 %,40.94 %,109.39 %,122.3,463.3,628.5,14670.12 %,44.70 %,156.14 %,159.1,535.7,2252.9,36.3,4027.1,55284.3,2.6,3569.3,28140.3,3.0,3835.9,21763.9,8994.44 %,41.53 %,81.20 %,269.8,1593.1,17671.5,53925.03 %,52.37 %,153.28 %,19568.6,2109.1,84741.9,30.2,22239.7,536.7,21.0,20817.0,156.1,29.4,20530.3,143.4,857.79 %,31.71 %,229.83 %,252.2,6511.1,329.6,980.55 %,39.41 %,424.60 %,295.7,8764.8,2278.7,2.5,893.2,547.2,1.5,775.7,279.4,2.3,815.1,264.8,8979.40 %,40.31 %,155.59 %,206.5,328.5,412.0,8834.27 %,63.49 %,188.22 %,225.2,567.1,1029.9,20.6,1089.0,152.5,14.9,1087.9,96.1,20.9,1086.0,97.5,876.72 %,3.44 %,249.46 %,183.4,37.4,243.3,926.00 %,4.44 %,193.17 %,191.0,48.3,294.5
J100M3,,4106658,150,163,100.00 %,0.00 %,0.00 %,100.00 %,0.00 %,0.00 %,45629.27,1.67,1.81,1.2,1136.9,1158.7,0.3,1061.5,498.2,0.6,1066.8,405.1,20311.62 %,39.83 %,94.39 %,121.9,424.9,382.4,16001.62 %,37.08 %,166.84 %,189.2,421.6,1933.1,16.7,3685.0,43473.2,2.4,3303.4,22442.9,2.6,3498.5,15309.3,10304.07 %,41.33 %,63.15 %,267.9,1446.0,9667.9,52119.31 %,46.51 %,157.39 %,8711.9,1713.7,68423.2,29.8,20898.2,162.7,20.8,20074.8,108.8,29.1,20232.8,134.1,863.58 %,26.53 %,222.89 %,251.3,5367.6,298.9,966.58 %,30.06 %,251.17 %,287.7,6281.2,408.6,2.5,675.8,253.0,1.5,603.9,132.4,2.2,649.2,137.0,9340.38 %,47.68 %,202.80 %,205.5,309.5,277.8,9901.11 %,44.99 %,232.86 %,250.5,304.0,589.2,20.4,1086.2,104.5,14.7,1085.4,86.0,20.7,1086.2,102.2,884.35 %,3.56 %,200.95 %,182.7,38.7,205.3,931.73 %,3.96 %,214.31 %,189.9,43.0,224.0
J100A1,,4126012,203,247,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,45844.25,2.26,2.74,1.2,1136.1,1167.9,0.3,1045.9,573.4,0.5,1036.8,595.8,24373.94 %,34.42 %,97.47 %,121.9,356.9,580.7,20839.38 %,44.42 %,158.09 %,245.4,504.7,1846.3,15.3,3963.6,44056.7,2.3,3565.4,24482.5,2.5,3728.3,19175.6,10680.65 %,42.20 %,73.73 %,267.0,1573.5,14139.0,71911.90 %,50.12 %,162.30 %,10969.1,1986.6,71503.0,29.9,20559.6,226.4,20.7,19325.0,91.6,29.1,19509.9,102.2,860.52 %,29.36 %,296.37 %,250.4,5728.8,302.9,990.77 %,39.94 %,360.58 %,296.3,8211.6,816.5,2.4,698.7,1037.0,1.4,595.1,177.6,2.2,704.6,192.9,9306.68 %,42.21 %,175.62 %,204.7,297.4,338.8,9844.27 %,52.00 %,1060.25 %,234.4,363.3,10994.3,20.3,1076.9,104.9,14.7,1076.0,68.3,20.7,1075.4,73.1,879.72 %,4.17 %,304.11 %,182.0,44.8,222.4,930.95 %,4.10 %,256.25 %,189.3,44.2,268.8
J100A2,,4168177,162,222,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,46312.96,1.80,2.47,1.0,1167.7,1349.7,0.4,1072.0,582.9,0.6,1101.3,535.3,20311.62 %,35.24 %,106.02 %,121.9,388.1,567.5,12440.72 %,42.24 %,162.29 %,126.8,493.3,2190.6,8.5,4179.1,51530.1,2.3,3680.2,26400.6,2.5,3729.9,20382.4,10656.93 %,38.59 %,80.95 %,266.4,1439.3,16498.8,15350.60 %,56.07 %,158.80 %,1298.3,2343.2,81827.8,29.8,20854.5,875.0,20.7,19316.2,115.8,28.8,20342.3,112.3,869.48 %,30.15 %,246.46 %,250.4,6133.4,276.7,976.37 %,38.12 %,589.47 %,290.6,7949.7,5158.1,2.3,609.5,274.3,1.5,505.5,131.5,2.2,594.5,160.3,9299.95 %,51.62 %,173.29 %,204.6,306.9,277.7,9121.93 %,58.02 %,189.90 %,209.9,353.6,521.0,20.3,1068.9,109.9,14.6,1067.0,68.8,20.4,1073.9,81.4,890.05 %,4.09 %,254.27 %,182.0,43.9,206.9,929.47 %,5.79 %,233.42 %,189.0,61.9,256.4
J100A3,,4042034,194,225,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,44911.36,2.16,2.50,1.1,1072.6,1305.4,0.3,947.0,618.3,0.5,978.3,559.2,24373.94 %,40.30 %,94.07 %,121.9,394.2,526.0,20015.73 %,53.40 %,158.19 %,228.3,572.8,2065.0,8.0,3746.1,50115.4,2.3,3357.7,26630.2,2.5,3503.9,21084.8,10639.14 %,39.81 %,76.51 %,266.0,1395.0,16131.3,15263.07 %,51.42 %,158.99 %,1222.8,1926.2,79680.8,29.8,19220.7,467.7,20.7,17870.4,55.0,29.0,18340.6,40.7,862.46 %,32.53 %,633.84 %,250.1,5966.9,258.0,977.98 %,43.05 %,600.66 %,291.2,8273.6,2809.3,2.4,531.9,317.0,1.6,432.5,125.4,2.2,516.5,132.7,9299.95 %,56.35 %,189.93 %,204.6,291.0,252.0,8626.45 %,58.09 %,363.13 %,210.9,308.9,1151.3,20.3,1071.1,76.8,14.7,1069.5,35.2,20.7,1071.7,30.5,877.89 %,5.09 %,592.98 %,181.7,54.5,180.8,929.89 %,5.43 %,344.10 %,188.8,58.1,264.3
J101A1,,4082913,198,224,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,45365.63,2.20,2.49,1.2,1149.5,1068.8,0.3,1041.1,561.5,0.5,1075.6,512.4,24344.29 %,39.76 %,105.51 %,121.7,427.7,540.6,21420.15 %,44.31 %,137.23 %,253.2,509.3,1466.7,7.9,4006.7,41012.9,2.3,3623.9,24668.5,2.7,3848.5,19410.5,9845.56 %,41.36 %,77.79 %,265.8,1591.7,15099.9,16160.17 %,45.93 %,135.53 %,1277.5,1840.4,55583.7,29.6,19492.4,513.0,20.5,18142.2,68.5,29.1,18638.9,69.4,858.99 %,30.12 %,359.54 %,250.0,5614.9,249.5,990.33 %,39.98 %,753.39 %,292.7,7793.7,3865.1,2.3,520.6,210.2,1.4,422.8,108.6,2.2,528.2,116.0,9286.47 %,53.81 %,217.98 %,204.3,284.2,252.9,8953.37 %,58.02 %,201.26 %,209.6,302.0,423.0,20.1,1067.3,75.4,14.5,1065.8,45.6,20.6,1077.4,49.1,879.81 %,4.63 %,362.01 %,181.6,49.9,177.7,938.23 %,5.10 %,319.72 %,188.7,54.5,240.9
J101A2,,4042521,204,208,100.00 %,0.01 %,0.01 %,100.00 %,0.01 %,0.01 %,44916.76,2.27,2.31,1.0,1109.7,1269.9,0.4,1009.3,521.6,0.6,1034.9,455.5,20286.91 %,43.23 %,92.64 %,121.7,447.4,422.0,12407.40 %,47.22 %,176.14 %,129.3,524.0,2236.8,13.7,3834.0,48857.5,2.2,3469.9,24543.4,2.4,3588.6,18766.9,11057.72 %,40.96 %,70.81 %,265.4,1469.9,13288.2,59120.98 %,48.22 %,172.32 %,8072.3,1848.7,84193.1,29.8,19473.2,575.5,20.6,17919.4,91.7,29.0,18547.1,102.6,860.93 %,30.82 %,256.83 %,249.7,5716.8,263.4,986.38 %,43.13 %,587.38 %,294.0,8398.8,3380.2,2.3,422.9,276.1,1.5,336.4,140.0,2.1,432.2,140.8,9735.74 %,71.88 %,207.81 %,204.5,310.7,292.6,9149.48 %,73.22 %,422.79 %,212.4,309.7,1167.2,20.2,1065.0,102.5,14.5,1063.4,60.3,20.6,1069.3,74.4,879.44 %,4.28 %,263.14 %,181.4,45.8,195.8,930.67 %,5.30 %,255.78 %,188.4,56.4,262.2
J101A3,,4078911,185,184,100.00 %,0.00 %,0.00 %,100.00 %,0.00 %,0.00 %,45321.04,2.06,2.04,1.0,1165.7,1118.8,0.4,1068.8,588.0,0.5,1094.1,566.2,24344.29 %,37.05 %,84.21 %,121.7,405.3,476.7,12921.12 %,41.62 %,141.93 %,125.7,485.1,1587.9,7.0,3830.4,40841.8,2.2,3449.9,24978.5,2.5,3594.8,21801.4,10615.42 %,42.04 %,75.95 %,265.4,1511.2,16558.6,15009.58 %,46.02 %,136.21 %,1053.5,1762.8,55631.4,29.3,20566.2,583.9,20.4,19366.7,72.8,28.7,19128.9,60.4,870.45 %,32.07 %,507.62 %,249.8,6133.8,306.6,1004.87 %,35.43 %,546.44 %,294.5,7286.4,3190.6,2.3,346.4,739.4,1.5,266.1,128.0,2.2,329.9,143.1,9279.73 %,82.33 %,196.94 %,204.2,271.6,281.9,9262.02 %,88.35 %,834.87 %,213.2,306.0,6172.6,19.9,1078.9,88.2,14.4,1078.0,40.5,20.4,1078.3,43.6,890.70 %,3.75 %,475.50 %,181.5,40.4,207.1,947.31 %,4.17 %,322.83 %,188.4,45.0,284.8
J102A1,,4141597,199,218,100.00 %,0.00 %,0.01 %,100.00 %,0.00 %,0.01 %,46017.55,2.21,2.42,1.3,1203.9,1176.4,0.5,1113.5,543.6,0.7,1133.6,504.5,17367.60 %,39.68 %,101.88 %,121.6,449.8,513.9,17794.61 %,39.93 %,152.74 %,225.8,480.7,1796.9,7.1,4158.2,43294.9,2.2,3690.6,23157.7,2.6,3574.5,18755.5,10207.13 %,41.22 %,70.73 %,265.4,1473.4,13265.0,14550.39 %,55.09 %,156.55 %,1028.5,2290.9,67779.9,29.6,20611.3,472.3,20.6,19552.2,53.5,28.9,19426.0,76.8,863.40 %,24.96 %,309.85 %,249.5,4849.3,237.8,992.49 %,34.61 %,648.89 %,294.1,7133.7,3064.9,2.3,338.2,257.2,1.5,276.6,78.3,2.1,341.6,78.8,9721.62 %,79.90 %,262.94 %,204.2,272.9,207.2,9197.13 %,86.77 %,619.21 %,210.2,293.4,1592.4,20.1,1065.6,69.4,14.5,1064.6,32.5,20.6,1066.1,54.3,880.77 %,3.79 %,320.81 %,181.3,40.4,174.1,935.60 %,4.35 %,358.62 %,188.3,46.4,248.7
