Experiment Name:,Exp_20210218_1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
E100M1,,4053562,5058,840,100.00%,0.12%,0.02%,100.00%,0.12%,0.02%,45039.44,56.20,9.33,2.7,921.3,1255.5,0.0,858.8,571.9,-0.1,883.2,486.6,122017.94%,34.69%,100.55%,122.0,306.4,489.3,20158.48%,37.84%,158.85%,549.4,348.6,1994.5,26.3,2866.7,48362.4,0.5,2587.4,26987.5,-2.3,2682.5,21281.6,12028.40%,41.30%,76.58%,276.7,1107.8,16297.3,26729.61%,50.60%,150.36%,7018.1,1450.4,72716.8,46.0,13282.0,6090.6,20.9,12789.6,247.1,28.4,12446.5,71.4,890.08%,24.31%,420.90%,252.8,3026.1,300.5,1609.50%,30.86%,359.78%,740.5,4098.8,21912.9,3.4,131.6,3500.3,1.7,92.2,85.0,2.4,124.8,49.0,8592.90%,206.23%,497.98%,206.2,257.4,244.3,9910.22%,221.12%,503.53%,334.9,290.9,17625.0,21.0,1075.6,175.5,14.6,1073.9,75.2,20.2,1076.2,50.1,910.72%,5.03%,434.53%,184.1,54.1,217.7,928.68%,5.82%,241.77%,194.6,62.6,424.3
E100M2,,4102407,5268,575,100.00%,0.13%,0.01%,100.00%,0.13%,0.01%,45582.18,58.53,6.39,1.3,934.8,1448.4,-0.1,876.2,655.0,-0.1,896.3,605.3,121573.17%,34.78%,109.12%,121.6,311.7,660.5,10760.81%,35.63%,146.45%,136.9,333.1,2121.3,16.8,2919.4,54086.6,0.5,2635.1,29340.1,-2.3,2700.4,23878.7,11951.04%,43.23%,88.09%,274.9,1167.5,21035.4,13698.88%,49.43%,138.43%,2298.4,1443.0,74874.5,46.0,13437.3,5456.2,20.9,12971.2,360.5,28.2,12609.5,115.0,892.71%,25.02%,307.99%,251.7,3154.8,354.2,1371.40%,28.48%,320.85%,631.1,3827.4,17506.1,2.7,121.1,1105.2,1.7,87.6,59.0,2.6,120.4,44.8,7903.40%,214.51%,569.87%,205.5,258.3,255.3,9230.38%,221.42%,904.95%,253.5,268.2,10001.2,20.9,1076.2,233.9,14.5,1074.8,107.7,20.1,1076.8,83.2,912.33%,4.81%,305.40%,183.3,51.8,254.2,927.70%,5.17%,201.68%,193.9,55.6,471.8
E100M3,,4017107,4913,592,100.00%,0.12%,0.01%,100.00%,0.12%,0.01%,44634.34,54.59,6.58,1.4,931.1,1476.4,0.0,868.9,706.9,0.1,899.9,605.5,120831.90%,34.35%,100.17%,120.8,309.1,606.5,17191.83%,37.16%,137.60%,247.5,346.0,2031.5,15.6,2922.9,56014.2,0.6,2631.5,29989.3,-2.0,2732.4,23681.5,13706.64%,41.85%,80.31%,274.1,1143.4,19019.3,10923.52%,50.47%,146.67%,1700.7,1475.2,82154.0,44.7,13351.7,4573.4,20.7,12872.3,275.1,28.1,12497.7,66.3,894.84%,24.85%,497.18%,251.4,3106.0,329.9,1311.17%,29.94%,293.89%,586.4,3997.0,13440.8,2.7,126.6,741.2,1.7,93.7,58.1,2.4,130.9,55.7,8543.48%,199.91%,464.36%,205.0,261.7,258.4,8546.04%,210.92%,1050.71%,230.1,267.1,7787.6,20.7,1077.8,218.1,14.4,1076.1,80.0,20.0,1078.4,45.7,914.65%,5.09%,522.69%,182.9,54.9,238.8,933.26%,5.75%,220.01%,193.2,62.0,479.8
E101M1,,4019118,5033,884,100.00%,0.13%,0.02%,100.00%,0.13%,0.02%,44656.76,55.92,9.82,1.7,1001.4,1290.4,0.0,937.5,649.9,0.0,963.1,595.3,####,34.58%,99.32%,120.4,333.0,591.3,15328.83%,36.19%,134.71%,256.1,362.4,1738.4,18.4,3025.8,47658.8,0.3,2757.6,28160.9,-2.5,2834.0,23292.8,10941.59%,38.73%,82.45%,273.5,1097.6,19204.0,9774.19%,48.60%,130.36%,1799.3,1470.6,62126.2,45.6,13772.7,3132.0,20.7,13274.6,253.2,28.1,12935.7,122.8,894.31%,24.97%,240.42%,251.3,3230.1,295.1,1316.05%,29.66%,305.18%,600.2,4085.0,9558.3,2.8,136.9,163.8,1.8,98.6,31.9,2.5,136.8,35.6,8201.74%,187.17%,590.96%,205.0,256.0,210.4,7689.46%,193.02%,1919.50%,214.4,264.3,3143.4,20.7,1077.8,203.1,14.4,1076.4,102.0,20.0,1078.2,92.3,913.82%,4.84%,236.42%,182.8,52.2,218.3,933.31%,5.08%,207.46%,193.0,54.7,421.4
E101M2,,4034386,4968,780,100.00%,0.12%,0.02%,100.00%,0.12%,0.02%,44826.41,55.20,8.67,1.9,992.4,1288.8,0.1,927.0,664.9,0.0,957.8,636.8,####,34.58%,97.59%,120.8,331.2,621.5,17036.99%,36.95%,133.64%,319.2,366.6,1722.2,17.6,2958.0,48265.8,0.5,2698.9,28269.4,-2.1,2749.5,23094.2,13011.58%,38.87%,85.40%,273.2,1068.7,19723.4,12044.22%,47.42%,135.99%,2120.8,1402.6,65637.8,45.1,13667.8,2780.2,20.6,13171.2,239.3,27.9,12801.6,99.3,898.59%,23.91%,325.34%,250.7,3060.6,323.1,1661.28%,30.44%,292.03%,749.8,4160.8,8119.0,2.4,135.2,62.8,1.6,98.3,39.8,2.2,133.1,45.5,9306.68%,185.09%,460.58%,204.7,246.3,209.6,8539.47%,193.20%,439.33%,208.9,261.2,275.7,20.5,1075.7,178.2,14.3,1074.2,82.5,19.8,1074.9,69.6,919.10%,4.90%,328.53%,182.3,52.7,228.7,940.16%,5.34%,241.42%,192.5,57.5,430.3
E101M3,,4077230,5431,1010,100.00%,0.13%,0.02%,100.00%,0.13%,0.02%,45302.52,60.34,11.22,1.7,999.2,1449.1,0.1,936.7,709.8,0.0,959.8,677.6,####,33.57%,99.69%,120.8,322.2,675.5,8060.07%,36.57%,140.53%,137.8,365.4,2036.5,21.4,3010.3,53294.8,0.2,2729.4,29898.2,-3.0,2795.8,24366.9,9108.11%,39.79%,83.92%,273.2,1112.5,20447.8,9452.09%,50.76%,140.29%,2018.6,1528.0,74767.0,46.4,13723.4,3620.2,20.4,13230.2,274.2,27.5,12810.8,107.6,912.20%,24.23%,291.56%,250.9,3103.7,313.7,1421.79%,30.65%,308.69%,659.2,4206.2,11175.3,2.6,142.9,48.6,1.7,102.2,28.7,2.4,142.5,45.2,8518.77%,182.39%,451.18%,204.5,259.9,203.9,7911.61%,186.70%,495.84%,208.7,266.8,241.2,20.3,1074.6,203.0,14.1,1073.0,91.0,19.5,1074.7,77.2,933.49%,4.73%,295.01%,182.4,50.9,227.8,947.80%,5.53%,218.88%,192.8,59.5,444.4
E101A1,,4047623,5514,915,100.00%,0.14%,0.02%,100.00%,0.14%,0.02%,44973.57,61.27,10.17,2.0,999.2,1539.4,0.0,934.4,780.2,-0.2,957.5,774.3,60638.35%,35.57%,104.87%,121.3,340.6,812.0,12219.29%,36.93%,128.90%,246.6,369.0,1984.2,24.1,3006.9,56054.0,0.0,2725.0,32169.8,-3.5,2749.3,27055.9,7828.13%,39.09%,88.03%,274.0,1074.7,23818.4,21666.32%,50.21%,131.85%,5219.1,1509.7,73909.6,46.4,13351.2,3910.5,20.4,12777.2,309.5,27.5,12541.0,123.2,910.59%,25.15%,286.29%,250.4,3153.8,352.7,1338.38%,30.66%,285.47%,620.7,4092.8,11163.2,2.7,189.7,330.2,1.6,140.5,62.2,2.4,188.6,62.2,8537.30%,139.38%,388.05%,204.9,262.9,241.4,8316.07%,142.79%,1357.64%,220.9,270.9,4482.6,20.4,1068.4,232.4,14.1,1066.6,99.8,19.5,1071.1,86.7,932.42%,5.10%,283.53%,182.1,54.6,245.8,946.34%,5.77%,203.37%,192.8,61.6,472.7
E101A2,,4173950,6089,1030,100.00%,0.15%,0.02%,100.00%,0.15%,0.02%,46377.24,67.66,11.44,2.1,998.0,1520.6,0.0,929.7,747.1,-0.2,962.6,699.3,60564.22%,35.55%,99.14%,121.1,342.2,693.3,11523.67%,37.01%,136.98%,239.3,369.4,2083.0,24.7,2981.0,55546.7,-0.5,2706.8,31610.8,-4.1,2776.3,26883.7,6697.01%,40.24%,84.95%,274.6,1117.3,22838.0,12415.35%,48.49%,138.37%,3065.1,1445.6,76860.7,47.6,13396.5,3434.0,20.3,12808.8,272.1,27.3,12703.9,111.6,917.80%,25.59%,292.14%,250.6,3250.6,326.0,1495.43%,30.59%,299.07%,711.9,4098.2,10270.0,2.5,207.2,103.3,1.6,152.3,60.2,2.2,200.3,68.1,9306.68%,126.35%,330.05%,204.7,253.1,224.8,8255.55%,130.14%,304.15%,210.1,269.6,314.2,20.2,1065.6,215.3,14.0,1063.7,95.1,19.4,1069.1,81.0,939.19%,5.08%,293.20%,182.0,54.3,237.4,955.66%,5.96%,209.66%,193.0,63.5,451.4
E101A3,,4014351,5802,912,100.00%,0.14%,0.02%,100.00%,0.14%,0.02%,44603.77,64.47,10.13,2.1,996.1,1470.4,0.0,930.3,751.8,-0.2,955.0,715.3,60564.22%,34.52%,105.48%,121.1,329.7,754.4,11618.37%,36.97%,128.37%,248.5,368.3,1887.5,23.8,2984.1,53543.5,-0.1,2714.3,30581.2,-3.5,2750.8,25166.2,7823.89%,38.40%,87.24%,273.8,1056.4,21956.0,12861.92%,50.41%,132.00%,3066.8,1504.3,70679.1,47.4,13383.2,3378.8,20.3,12811.9,310.7,27.5,12576.9,102.6,910.59%,24.48%,335.77%,250.4,3078.3,344.3,1380.61%,31.20%,282.73%,653.9,4175.5,9552.7,2.6,213.0,102.5,1.6,158.8,60.3,2.4,209.3,69.6,8518.77%,123.36%,343.67%,204.5,258.1,239.4,8311.56%,123.54%,318.76%,214.1,263.1,326.6,20.3,1066.8,221.2,14.0,1064.9,101.5,19.5,1069.0,71.5,933.25%,5.00%,352.86%,182.0,53.4,252.4,950.14%,5.94%,209.19%,192.9,63.4,462.7
E102A1,,4052548,5747,501,100.00%,0.14%,0.01%,100.00%,0.14%,0.01%,45028.32,63.86,5.57,1.8,1050.0,1381.8,0.0,986.2,688.9,-0.2,1012.0,632.0,60638.35%,33.24%,96.13%,121.3,336.4,607.6,15900.85%,35.37%,144.38%,292.2,371.4,1995.0,13.5,3055.8,50214.8,0.0,2786.8,28467.6,-3.1,2853.0,23631.0,8799.95%,38.44%,79.03%,272.8,1096.8,18676.0,11093.90%,48.05%,146.68%,1496.5,1468.2,73656.9,47.8,14262.3,4425.8,20.4,13764.5,359.4,27.6,13491.4,123.5,906.75%,24.13%,286.08%,250.3,3255.6,353.3,1337.56%,29.44%,281.41%,638.8,4199.2,12454.4,2.6,213.9,296.2,1.6,158.9,55.4,2.3,214.3,71.6,8889.15%,123.35%,372.51%,204.5,264.3,266.7,8381.87%,126.88%,1488.76%,214.3,271.4,4409.6,20.3,1074.6,238.5,14.1,1073.0,110.4,19.6,1075.2,79.7,926.84%,4.77%,303.70%,181.8,51.3,242.0,947.06%,5.53%,196.71%,192.5,59.5,469.1
