Experiment Name:,Exp_20210304_1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
L100M1,,4052618,2784,544,100.00 %,0.07 %,0.01 %,100.00 %,0.07 %,0.01 %,45028.98,30.93,6.04,2.1,1013.8,1421.2,0.3,939.1,691.7,0.5,941.8,674.5,24581.51 %,35.28 %,101.03 %,122.9,332.3,681.5,17552.45 %,41.94 %,143.34 %,372.3,425.2,2037.2,20.0,3421.6,45116.2,1.5,2937.5,26352.5,0.8,3005.4,21696.9,34433.38 %,48.17 %,76.98 %,275.5,1447.7,16702.3,41910.13 %,62.15 %,136.39 %,8368.6,2126.4,61534.7,42.9,19864.5,4296.1,20.7,18957.8,341.4,28.2,18677.4,128.8,907.96 %,26.97 %,256.45 %,256.0,5037.6,330.2,1953.09 %,35.10 %,266.62 %,837.5,6973.2,11454.4,3.6,142.0,2793.2,1.6,105.0,55.6,2.3,144.4,56.8,9095.43 %,188.55 %,395.71 %,209.2,272.4,224.8,13565.16 %,203.01 %,1188.12 %,487.2,288.3,33187.2,20.5,1082.7,234.7,14.4,1081.4,106.6,20.1,1080.3,95.7,928.14 %,3.89 %,249.21 %,186.2,42.1,238.4,955.50 %,5.05 %,190.73 %,195.8,54.7,447.7
L100M2,,4126451,2861,573,100.00 %,0.07 %,0.01 %,100.00 %,0.07 %,0.01 %,45849.36,31.79,6.37,1.8,1029.6,1467.5,0.3,946.3,680.0,0.5,953.9,593.8,24522.20 %,36.04 %,99.52 %,122.6,343.8,591.0,11138.48 %,45.98 %,149.69 %,196.3,473.4,2196.7,36.7,3481.7,47248.0,1.4,2988.7,26230.7,0.9,3081.8,19623.5,30113.25 %,48.09 %,74.65 %,271.0,1482.2,14648.8,40562.11 %,64.54 %,146.38 %,14870.8,2247.1,69160.7,42.5,19967.0,3994.0,20.7,19028.3,258.3,28.5,18679.0,96.9,888.52 %,26.46 %,332.78 %,253.2,4943.0,322.5,1518.55 %,37.52 %,319.29 %,645.4,7491.1,12752.2,2.9,133.1,582.7,1.6,97.8,52.9,2.4,135.5,56.9,8611.43 %,195.64 %,397.10 %,206.7,265.1,225.9,9320.64 %,210.67 %,1524.34 %,273.0,280.4,8882.3,20.4,1083.1,188.7,14.4,1081.9,85.2,20.3,1082.2,75.9,908.17 %,3.94 %,322.18 %,184.1,42.6,244.6,947.61 %,5.11 %,231.93 %,193.4,55.4,437.6
L100M3,,4048570,2817,559,100.00 %,0.07 %,0.01 %,100.00 %,0.07 %,0.01 %,44984.01,31.30,6.21,1.9,1020.6,1636.7,0.3,935.2,740.8,0.5,942.5,726.9,24433.25 %,37.33 %,116.91 %,122.2,351.8,849.8,11943.87 %,44.70 %,145.53 %,222.1,456.2,2381.9,62.5,3438.0,50842.0,1.4,2979.1,28702.2,0.7,3035.9,22425.8,38378.16 %,48.16 %,84.46 %,268.6,1462.0,18941.4,40680.97 %,59.71 %,138.26 %,25416.9,2052.9,70295.5,42.5,19745.2,5102.4,20.6,18826.7,334.8,28.3,18453.1,100.6,889.04 %,27.34 %,330.12 %,251.6,5044.5,332.1,1569.56 %,35.43 %,371.41 %,667.5,6995.4,18950.9,2.8,137.3,2037.4,1.4,99.7,58.6,2.1,132.4,60.7,9785.16 %,197.31 %,384.94 %,205.5,261.2,233.7,11957.39 %,200.38 %,954.30 %,339.6,275.1,19442.9,20.3,1082.1,224.7,14.4,1080.9,96.7,20.2,1081.0,72.2,907.26 %,3.98 %,341.86 %,182.9,43.0,246.7,946.45 %,4.75 %,208.10 %,192.0,51.4,467.6
L100A1,,4113755,3105,632,100.00 %,0.08 %,0.02 %,100.00 %,0.08 %,0.02 %,45708.41,34.50,7.02,1.6,1029.5,1488.9,0.3,938.8,744.2,0.4,955.1,731.7,30504.49 %,37.47 %,104.72 %,122.0,357.9,766.2,14708.81 %,45.49 %,141.43 %,229.0,468.3,2105.8,13.2,3560.7,46086.5,1.2,3109.1,26958.6,0.4,3165.4,21406.3,67013.52 %,46.12 %,80.78 %,268.1,1459.8,17292.7,10205.01 %,58.99 %,141.21 %,1348.1,2100.4,65079.0,42.9,19146.9,3542.1,20.5,18182.4,226.6,28.4,17899.1,85.6,883.30 %,27.76 %,364.85 %,250.9,4968.9,312.3,1497.75 %,36.82 %,312.98 %,642.5,7050.0,11086.0,2.9,136.4,1476.3,1.6,100.4,55.5,2.3,138.5,65.2,8908.49 %,188.72 %,344.31 %,204.9,261.4,224.3,11431.95 %,202.65 %,1242.90 %,326.3,276.4,18349.5,20.3,1078.8,173.3,14.3,1077.7,70.1,20.2,1079.4,57.7,903.55 %,4.15 %,398.09 %,182.4,44.7,229.7,942.95 %,4.64 %,244.79 %,191.4,50.0,424.3
L100A2,,4122455,3130,689,100.00 %,0.08 %,0.02 %,100.00 %,0.08 %,0.02 %,45804.90,34.78,7.66,1.6,1027.4,1554.0,0.3,935.2,762.4,0.5,942.0,727.4,24403.60 %,37.95 %,104.85 %,122.0,357.5,762.6,8537.89 %,46.49 %,138.66 %,136.7,477.6,2154.8,17.0,3561.3,48219.5,1.5,3117.8,27672.9,1.0,3169.6,22805.8,26731.28 %,45.88 %,80.92 %,267.3,1454.3,18454.8,20715.56 %,58.94 %,139.37 %,3531.9,2099.1,67204.9,43.5,19303.8,4608.9,20.7,18337.9,278.3,28.5,17957.9,102.2,878.64 %,27.37 %,323.36 %,250.4,4914.9,330.5,1536.03 %,37.04 %,326.83 %,667.8,7149.9,15063.2,2.9,142.4,1513.3,1.6,104.7,50.4,2.4,145.2,45.5,8524.95 %,177.67 %,544.81 %,204.6,258.0,247.9,13715.95 %,184.70 %,1686.43 %,399.3,263.1,25521.0,20.3,1080.1,200.2,14.4,1079.0,85.9,20.3,1079.3,70.0,897.81 %,4.00 %,335.59 %,182.1,43.2,234.9,940.18 %,4.55 %,226.29 %,191.1,49.1,452.9
L100A3,,4047145,2918,667,100.00 %,0.07 %,0.02 %,100.00 %,0.07 %,0.02 %,44968.27,32.42,7.41,2.0,1005.9,1532.9,0.3,921.4,780.7,0.3,933.3,736.4,40623.24 %,38.23 %,102.82 %,121.9,356.9,757.2,16751.99 %,43.53 %,136.43 %,338.2,437.9,2091.4,22.3,3493.5,48851.4,1.3,3031.6,28422.6,0.4,3097.4,23339.3,66791.13 %,47.41 %,81.33 %,267.2,1468.4,18981.7,40122.60 %,59.96 %,135.60 %,8957.7,2094.6,66242.3,42.2,19119.0,3221.7,20.6,18189.4,211.0,28.2,18064.1,87.7,888.51 %,27.72 %,332.02 %,250.6,5007.0,291.2,1486.49 %,34.81 %,354.98 %,627.2,6655.1,11436.6,2.5,148.7,248.2,1.5,112.5,38.8,2.3,155.0,58.5,8889.15 %,174.52 %,397.64 %,204.5,270.4,232.6,9151.01 %,183.42 %,1790.00 %,227.6,272.7,4443.1,20.3,1079.4,164.6,14.4,1078.2,79.9,20.0,1079.7,58.4,909.00 %,3.93 %,361.31 %,182.1,42.4,211.1,941.42 %,4.66 %,246.65 %,190.9,50.3,406.0
L101M1,,4066920,3005,614,100.00 %,0.07 %,0.02 %,100.00 %,0.07 %,0.02 %,45187.92,33.39,6.82,1.8,1086.2,1452.6,0.4,1001.6,749.1,0.5,1017.0,768.9,24403.60 %,36.84 %,100.74 %,122.0,374.7,774.6,12985.58 %,42.75 %,135.35 %,237.3,464.4,1966.1,17.5,3755.5,42450.3,1.3,3339.3,26546.1,0.8,3399.3,23055.8,33377.03 %,41.55 %,80.61 %,267.0,1412.5,18585.1,37716.70 %,55.14 %,126.21 %,6584.0,2070.9,53575.4,43.3,19748.7,4205.0,20.7,18822.5,284.4,28.4,18600.2,94.0,881.73 %,26.85 %,331.85 %,250.4,4994.7,311.9,1519.24 %,35.36 %,364.83 %,657.4,6983.7,15341.0,2.5,186.8,743.9,1.5,138.4,56.0,2.2,189.5,60.3,9286.47 %,136.13 %,361.87 %,204.3,258.0,218.4,10254.09 %,147.11 %,1550.78 %,259.0,274.8,11536.9,20.3,1079.7,190.2,14.4,1078.6,91.4,20.2,1079.0,71.6,902.38 %,3.78 %,313.85 %,182.0,40.8,224.6,938.19 %,4.77 %,228.36 %,190.9,51.5,434.3
L101M2,,4121003,3032,618,100.00 %,0.07 %,0.01 %,100.00 %,0.07 %,0.01 %,45788.84,33.69,6.87,1.9,1084.5,1385.2,0.4,1000.8,715.3,0.5,1006.1,659.7,24344.29 %,35.24 %,93.64 %,121.7,354.6,617.7,13289.56 %,42.78 %,136.19 %,250.7,464.0,1886.6,13.9,3716.2,42686.6,1.6,3303.8,25959.5,0.9,3332.2,21939.3,29602.58 %,43.30 %,78.55 %,266.4,1442.8,17233.4,10662.10 %,55.31 %,134.23 %,1477.0,2055.4,57297.8,42.8,19550.2,3055.1,20.5,18646.2,210.8,28.1,18282.4,89.4,890.62 %,26.90 %,347.60 %,250.3,4917.2,310.8,1784.85 %,34.94 %,303.17 %,764.5,6830.5,9262.0,2.4,201.3,414.4,1.5,151.9,76.9,2.1,198.1,90.6,9728.68 %,132.32 %,273.69 %,204.3,262.1,248.0,9056.35 %,135.46 %,1325.48 %,220.8,272.7,5492.3,20.2,1084.4,169.9,14.2,1083.3,74.7,19.9,1084.0,61.7,911.33 %,3.86 %,386.96 %,181.8,41.8,238.7,946.48 %,4.48 %,237.52 %,190.7,48.6,403.6
L101M3,,4040546,2936,563,100.00 %,0.07 %,0.01 %,100.00 %,0.07 %,0.01 %,44894.97,32.62,6.26,1.8,1069.3,1561.9,0.4,983.2,792.2,0.5,996.5,819.8,24403.60 %,37.15 %,99.81 %,122.0,370.2,818.2,13861.61 %,43.10 %,136.42 %,256.4,460.9,2130.7,13.2,3725.2,47450.4,1.2,3321.2,28275.2,0.7,3354.8,24379.3,38124.00 %,43.09 %,82.61 %,266.9,1445.5,20139.5,11160.32 %,55.51 %,133.32 %,1470.4,2067.9,63259.6,42.5,19489.7,3186.8,20.4,18630.1,182.0,28.0,18571.0,83.3,893.27 %,26.45 %,344.04 %,250.1,4912.8,286.6,1602.12 %,33.86 %,365.36 %,680.7,6599.4,11643.6,2.3,195.7,69.4,1.5,144.1,44.1,2.0,190.7,61.9,10215.11 %,140.84 %,401.19 %,204.3,268.6,248.3,9235.00 %,140.66 %,399.40 %,212.0,275.3,277.1,20.1,1077.8,156.7,14.2,1076.8,67.9,19.9,1077.9,67.6,914.98 %,3.80 %,318.79 %,181.7,40.9,215.5,949.61 %,4.36 %,253.75 %,190.6,47.0,397.5
L101A1,,4230346,3101,701,100.00 %,0.07 %,0.02 %,100.00 %,0.07 %,0.02 %,47003.69,34.46,7.79,1.7,1072.3,1375.8,0.4,989.5,694.6,0.5,1006.8,663.7,24373.94 %,36.11 %,100.79 %,121.9,363.5,668.9,8334.63 %,42.51 %,143.01 %,138.4,455.8,1967.5,14.6,3621.1,43744.6,1.4,3192.0,25644.1,0.8,3225.5,20367.6,33339.97 %,42.26 %,75.35 %,266.7,1363.3,15346.8,11160.59 %,59.64 %,144.46 %,1626.0,2159.5,63194.1,42.9,19292.5,3503.2,20.7,18454.7,201.2,28.5,18266.5,84.6,877.08 %,26.61 %,354.70 %,250.0,4860.9,300.1,1605.61 %,33.23 %,380.56 %,689.2,6410.9,13331.5,2.3,155.5,77.2,1.5,113.7,49.0,2.2,154.0,44.9,9293.21 %,170.50 %,515.77 %,204.5,262.6,231.6,9178.93 %,173.77 %,336.41 %,213.7,270.3,259.7,20.4,1079.9,165.6,14.5,1078.9,72.5,20.2,1079.7,61.1,897.34 %,3.71 %,367.85 %,181.6,40.0,224.8,936.03 %,4.50 %,243.83 %,190.6,48.6,403.7
