Experiment Name:,Exp_20210204_1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
A200M1,,4152596,19093,1120,100.00%,0.46%,0.03%,100.00%,0.46%,0.03%,46139.97,212.14,12.44,5.1,1086.7,1678.1,-0.1,994.7,759.8,-1.0,999.8,733.4,12261.10%,38.45%,105.06%,122.6,384.4,770.6,8359.91%,45.23%,142.65%,430.2,491.5,2393.8,58.4,3366.4,59235.0,-2.6,3030.4,29746.5,-6.6,3081.4,22961.2,4081.64%,38.92%,81.86%,269.4,1199.3,18796.7,28553.16%,49.94%,153.37%,16681.4,1681.3,90848.0,100.7,16291.9,5282.2,19.9,15311.6,485.7,24.2,14797.6,131.6,1040.88%,32.21%,285.31%,251.9,4766.4,375.3,1444.42%,40.45%,226.07%,1454.0,6589.5,11941.5,2.6,119.2,145.9,1.6,85.8,36.1,2.4,121.6,45.5,8537.31%,212.88%,500.34%,204.9,258.9,227.7,8350.07%,226.37%,2082.53%,215.5,269.9,3038.0,20.5,1071.8,283.8,12.9,1070.0,127.3,17.1,1070.7,92.1,1068.01%,4.54%,303.11%,182.9,48.6,279.3,986.67%,6.08%,180.00%,201.9,65.2,510.9
A200M2,,4066227,18890,974,100.00%,0.46%,0.02%,100.00%,0.46%,0.02%,45180.19,209.89,10.82,4.5,1087.2,1649.1,-0.1,997.2,747.9,-0.9,1001.9,682.8,13590.50%,37.14%,108.42%,122.3,372.1,740.3,4500.66%,44.73%,145.73%,204.6,486.3,2403.3,42.1,3382.8,58785.3,-2.8,3054.8,29829.1,-7.3,3103.5,23055.9,3690.25%,39.31%,81.15%,269.4,1219.9,18709.0,16940.96%,49.89%,154.92%,7130.3,1687.8,91070.2,100.6,16239.7,5001.1,19.7,15285.9,465.4,24.1,14807.4,117.4,1043.97%,31.27%,328.33%,251.6,4630.5,385.6,1479.46%,39.99%,235.69%,1488.9,6494.1,11787.4,2.5,128.2,182.6,1.5,93.3,35.2,2.3,127.1,40.2,8908.49%,202.85%,550.81%,204.9,257.8,221.4,8722.04%,207.29%,2202.17%,219.1,265.8,4021.2,20.3,1072.4,265.5,12.7,1070.8,118.6,17.0,1072.0,84.2,1073.56%,4.48%,329.12%,182.7,48.1,277.0,992.17%,5.79%,192.92%,201.8,62.1,512.3
A200M3,,4055218,18703,943,100.00%,0.46%,0.02%,100.00%,0.46%,0.02%,45057.86,207.81,10.48,4.8,1097.0,1628.8,-0.1,1004.3,756.6,-0.9,1013.6,740.7,13590.50%,37.58%,110.91%,122.3,380.9,821.5,7253.25%,45.23%,131.53%,347.7,496.2,2142.4,48.4,3383.3,57156.8,-2.6,3051.9,30250.0,-6.8,3104.0,23956.5,3961.59%,39.58%,82.59%,269.4,1228.5,19784.6,21524.06%,50.12%,141.19%,10427.1,1695.9,80698.9,101.1,16277.2,5252.0,19.8,15308.9,557.1,24.1,14834.8,150.5,1043.36%,31.47%,263.62%,251.4,4668.0,396.7,1604.25%,40.61%,215.72%,1622.4,6610.1,11329.6,2.5,127.2,62.8,1.6,92.4,42.2,2.2,126.5,44.8,9299.95%,204.05%,480.85%,204.6,258.1,215.4,8520.56%,210.03%,382.24%,209.0,267.2,240.1,20.4,1073.5,305.7,12.8,1071.9,145.4,17.1,1072.9,109.0,1070.25%,4.54%,269.08%,182.7,48.7,293.3,989.73%,5.60%,166.40%,201.8,60.1,508.7
A208M1,,4189589,24399,721,100.00%,0.58%,0.02%,100.00%,0.58%,0.02%,46551.00,271.10,8.01,5.7,1174.5,1588.4,0.0,1080.4,740.2,-1.2,1087.7,686.4,10192.87%,37.17%,107.65%,122.3,404.3,738.9,4610.09%,43.23%,137.91%,263.1,507.7,2190.6,27.7,3762.6,53185.3,-4.5,3341.0,28818.0,-10.1,3453.7,21947.6,2671.62%,45.13%,76.18%,269.8,1558.8,16720.0,10669.31%,52.12%,143.97%,2956.0,1960.9,76573.4,122.4,17170.0,6020.9,19.6,16221.2,570.1,22.8,16234.5,150.1,1104.80%,30.26%,266.69%,251.9,4912.9,400.3,1200.73%,37.84%,227.24%,1469.7,6497.6,13682.0,2.5,125.8,217.3,1.5,91.3,50.1,2.1,125.1,52.4,9749.86%,209.41%,445.06%,204.7,262.0,233.2,8750.48%,213.06%,1758.99%,220.2,268.0,3821.7,20.5,1077.1,290.5,12.3,1075.4,142.2,16.1,1075.7,105.3,1134.48%,4.33%,277.87%,182.9,46.6,292.5,1000.85%,6.15%,176.51%,204.8,66.2,512.7
A208M2,,4153767,24938,644,100.00%,0.60%,0.02%,100.00%,0.60%,0.02%,46152.83,277.09,7.16,6.1,1173.2,1736.3,0.0,1078.9,794.7,-1.3,1084.9,703.1,9431.62%,37.39%,107.58%,122.6,405.6,756.4,4673.66%,43.45%,143.08%,286.1,509.7,2484.3,38.5,3749.4,58020.9,-4.5,3336.8,29445.8,-10.0,3455.6,22566.4,2698.33%,45.07%,80.22%,269.8,1557.4,18102.5,20363.79%,50.82%,152.86%,7831.1,1905.4,88690.7,126.7,17130.7,6569.2,19.5,16207.1,611.7,22.6,16190.8,134.6,1114.57%,29.57%,311.28%,251.9,4788.2,419.0,1618.97%,37.54%,222.13%,2051.5,6431.4,14592.0,2.5,129.4,68.3,1.5,93.6,41.3,2.2,129.0,54.8,9299.95%,199.86%,442.62%,204.6,257.8,242.8,8978.86%,206.08%,371.73%,224.3,266.8,253.8,20.4,1078.0,297.9,12.2,1076.2,133.1,15.9,1076.1,96.1,1148.69%,4.39%,312.28%,182.9,47.2,300.2,1007.28%,6.32%,178.85%,205.5,68.1,532.8
A208M3,,4275162,27424,970,100.00%,0.64%,0.02%,100.00%,0.64%,0.02%,47501.79,304.71,10.78,6.5,1178.0,1631.5,0.0,1082.9,752.6,-1.3,1093.4,672.8,9386.00%,36.80%,109.33%,122.0,402.4,735.6,4295.88%,43.52%,140.57%,280.7,512.7,2293.5,40.8,3769.4,55754.5,-4.6,3348.8,29393.0,-10.4,3466.1,22288.0,2595.98%,44.80%,81.19%,270.0,1552.9,18095.5,18363.76%,52.02%,147.99%,7501.3,1960.9,82510.6,133.5,17174.8,6318.7,19.7,16234.2,564.1,22.7,16250.9,122.1,1111.62%,30.01%,316.25%,252.3,4877.2,386.1,1349.95%,38.01%,225.28%,1802.8,6527.5,14234.5,2.5,133.5,53.8,1.5,97.3,31.6,2.0,134.6,34.1,10237.35%,194.25%,639.13%,204.7,261.5,217.9,8675.13%,201.99%,453.48%,217.5,269.6,244.2,20.7,1076.1,285.8,12.2,1074.5,131.6,16.1,1075.0,91.1,1140.95%,4.30%,310.93%,183.3,46.2,283.3,1000.51%,5.78%,182.76%,206.6,62.2,522.3
A305A1,,4146014,31192,495,100.00%,0.75%,0.01%,100.00%,0.75%,0.01%,46066.73,346.58,5.50,6.6,1123.7,1356.3,-0.1,1037.0,629.3,-1.5,1045.9,542.1,8183.95%,35.98%,110.96%,122.8,376.3,601.5,4572.17%,42.73%,144.67%,302.6,480.1,1962.1,28.3,3489.4,43888.6,-5.3,3143.7,25238.8,-11.5,3189.6,20549.9,2354.11%,40.48%,78.42%,270.7,1291.3,16115.7,20269.12%,50.05%,150.98%,5726.5,1746.5,66262.6,145.2,16466.5,6030.4,20.0,15664.3,648.1,22.1,15100.2,144.4,1143.14%,28.39%,307.40%,252.6,4287.1,443.9,1254.29%,36.42%,202.56%,1821.4,5997.5,12215.4,2.8,170.5,79.2,1.7,124.6,50.1,2.4,169.0,55.9,8537.30%,152.56%,469.71%,204.9,257.8,262.6,7919.85%,157.43%,339.84%,225.2,268.4,269.3,21.2,1070.5,312.8,12.2,1068.8,142.3,15.6,1068.6,101.7,1172.38%,4.37%,321.72%,183.4,46.7,327.1,987.79%,6.01%,166.55%,209.2,64.3,520.9
A305A2,,4116778,30865,413,100.00%,0.75%,0.01%,100.00%,0.75%,0.01%,45742.04,342.94,4.59,6.6,1130.9,1705.8,-0.1,1043.5,784.6,-1.5,1049.6,630.1,8164.18%,36.16%,107.88%,122.5,379.5,679.8,4571.39%,43.08%,137.94%,303.6,487.2,2353.0,24.3,3494.0,55130.5,-5.3,3150.3,29426.8,-11.5,3183.1,23856.9,2354.11%,40.52%,81.65%,270.7,1289.7,19480.0,13649.13%,49.87%,147.44%,3323.2,1742.6,81285.1,144.8,16541.7,8305.0,19.7,15721.4,1053.5,21.8,15190.4,175.6,1157.52%,28.60%,282.50%,252.3,4345.1,496.1,1166.86%,37.09%,179.60%,1689.3,6135.4,14916.0,2.8,173.6,107.0,1.7,127.1,60.8,2.4,172.6,75.4,8537.31%,150.24%,319.53%,204.9,259.3,240.9,7504.21%,155.29%,265.50%,209.5,269.5,284.0,21.0,1070.5,387.4,12.0,1068.8,189.6,15.4,1068.2,122.2,1186.08%,4.35%,298.52%,183.2,46.5,364.7,996.38%,6.10%,146.85%,209.0,65.3,569.0
A305A3,,4000912,30985,445,100.00%,0.77%,0.01%,100.00%,0.77%,0.01%,44454.57,344.28,4.94,6.7,1123.9,1747.9,-0.1,1034.2,749.5,-1.5,1046.2,684.8,8154.30%,36.59%,116.59%,122.3,382.8,798.4,4179.18%,43.85%,140.74%,281.6,492.8,2460.0,26.7,3506.0,57159.8,-5.6,3156.2,28971.7,-12.0,3191.8,23407.3,2254.79%,40.48%,80.16%,270.6,1291.9,18762.6,17271.75%,50.33%,150.07%,4619.5,1764.6,85777.3,148.8,16545.8,8419.9,20.0,15720.2,1019.7,21.8,15175.3,189.0,1158.20%,28.79%,271.81%,252.5,4369.5,513.7,1153.84%,36.99%,185.57%,1716.9,6120.7,15625.0,2.8,178.4,98.3,1.7,131.0,67.4,2.4,177.5,68.5,8537.31%,148.59%,396.73%,204.9,263.8,271.8,7436.03%,151.35%,310.85%,209.2,270.1,305.4,21.2,1071.3,405.5,12.1,1069.4,193.4,15.4,1068.3,145.5,1187.99%,4.35%,264.73%,183.2,46.5,385.1,990.36%,6.31%,140.07%,209.6,67.6,568.0
A201M1,,4290417,20086,1414,100.00%,0.47%,0.03%,100.00%,0.47%,0.03%,47671.22,223.18,15.71,5.4,1137.6,1569.1,0.0,1042.0,810.3,-0.9,1055.4,797.7,13524.61%,37.70%,101.18%,121.7,397.9,807.1,5115.67%,44.69%,135.33%,274.3,508.4,2123.4,43.7,3547.2,48130.4,-3.2,3195.4,27015.2,-7.8,3245.6,21316.7,3453.70%,39.66%,74.20%,269.4,1287.2,15817.7,15889.52%,50.51%,149.54%,6944.6,1791.6,71976.1,106.5,17250.6,4065.8,20.0,16274.4,292.3,24.4,15811.8,95.6,1030.53%,30.66%,351.39%,251.4,4847.6,336.1,1541.95%,39.18%,278.26%,1641.9,6759.3,11313.5,2.7,190.4,60.5,1.5,141.2,36.9,2.1,188.9,47.8,9756.92%,137.39%,507.06%,204.9,259.5,242.6,15476.72%,141.84%,444.01%,413.9,270.0,268.8,20.5,1063.0,215.4,12.9,1061.5,88.8,17.3,1062.4,69.4,1056.69%,4.28%,357.92%,182.3,45.4,248.4,982.38%,5.44%,213.63%,201.2,57.9,460.1
