Experiment Name:,Exp_20210224_1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
G100M1,,4138523,4128,401,100.00 %,0.10 %,0.01 %,100.00 %,0.10 %,0.01 %,45983.56,45.87,4.46,1.9,933.1,917.1,0.2,839.8,426.2,0.4,843.5,368.1,30838.08 %,37.81 %,91.83 %,123.4,318.9,338.0,20799.63 %,51.43 %,185.84 %,400.1,479.9,1704.4,13.8,3148.1,33918.4,1.7,2730.9,22005.7,1.2,2810.8,18438.7,23190.34 %,48.06 %,61.84 %,278.3,1350.9,11401.9,28292.71 %,57.64 %,139.72 %,3916.2,1814.6,47390.0,47.6,17801.3,5766.5,21.7,16662.9,204.1,29.4,16087.0,121.9,874.94 %,30.67 %,237.65 %,257.2,4934.5,289.7,1479.31 %,43.01 %,385.38 %,703.4,7656.3,22222.7,3.2,261.6,4104.3,1.8,186.5,143.9,2.5,243.6,90.5,8433.03 %,121.45 %,275.06 %,210.8,295.9,248.9,9168.13 %,141.01 %,470.31 %,296.8,368.8,19302.6,21.7,1080.7,156.2,15.2,1079.2,82.6,21.0,1081.0,85.2,892.65 %,4.25 %,261.57 %,187.7,46.0,222.9,913.58 %,5.63 %,229.18 %,198.5,60.8,358.0
G100M2,,4090271,4227,205,100.00 %,0.10 %,0.01 %,100.00 %,0.10 %,0.01 %,45447.43,46.97,2.28,1.3,946.1,1066.2,0.1,855.0,440.4,0.3,852.7,386.6,41068.02 %,37.30 %,104.50 %,123.2,318.0,404.0,10464.50 %,49.77 %,187.63 %,132.5,470.9,2000.5,12.0,3119.7,35781.4,1.9,2737.7,21419.9,1.7,2826.0,17147.0,16073.13 %,46.52 %,71.06 %,273.2,1314.8,12185.0,42278.35 %,53.70 %,151.26 %,5086.8,1675.4,54124.5,47.3,17724.8,5464.6,21.3,16660.9,176.4,28.9,16131.6,123.4,879.81 %,30.62 %,239.21 %,254.3,4939.6,295.2,1464.94 %,41.47 %,457.41 %,693.1,7350.6,24995.6,2.8,158.6,2517.6,1.7,116.6,159.8,2.3,156.8,133.9,9056.75 %,171.14 %,198.31 %,208.3,268.4,265.5,8981.78 %,177.99 %,691.99 %,247.7,282.3,17421.6,21.3,1079.9,143.6,14.9,1078.6,77.4,20.7,1079.3,86.8,896.08 %,4.45 %,248.69 %,185.4,48.0,216.0,918.82 %,4.89 %,242.52 %,195.7,52.8,348.3
G100M3,,4128530,4133,188,100.00 %,0.10 %,0.00 %,100.00 %,0.10 %,0.00 %,45872.43,45.92,2.09,1.5,951.6,921.4,0.2,860.5,438.2,0.3,859.4,417.1,40919.76 %,38.23 %,88.16 %,122.8,328.5,367.8,20576.51 %,48.80 %,168.89 %,312.9,464.3,1556.1,7.3,3177.3,30136.0,1.6,2776.8,18677.8,1.2,2823.1,14649.3,22535.52 %,47.52 %,53.56 %,270.4,1341.6,7846.1,9559.01 %,56.09 %,147.17 %,697.4,1782.3,44351.5,46.0,17507.5,2603.2,21.1,16479.3,153.9,28.8,15886.8,68.6,876.18 %,31.14 %,361.46 %,252.3,4947.9,248.0,1420.11 %,40.34 %,451.50 %,653.7,7061.7,11753.6,2.6,150.5,1009.4,1.6,107.9,104.1,2.3,150.0,83.0,8979.40 %,179.30 %,329.74 %,206.5,268.9,273.7,8351.85 %,186.82 %,673.60 %,216.9,281.2,6799.3,21.0,1082.9,151.2,14.7,1081.6,66.9,20.5,1083.9,55.0,895.38 %,4.44 %,327.02 %,183.7,48.1,179.8,922.14 %,4.85 %,241.26 %,194.0,52.5,364.7
G101A1,,4002276,4998,335,100.00 %,0.12 %,0.01 %,100.00 %,0.12 %,0.01 %,44469.69,55.53,3.72,1.8,992.4,1203.3,0.1,895.0,571.5,0.1,902.2,511.2,123055.80 %,39.05 %,101.19 %,123.1,352.3,517.3,10156.06 %,49.77 %,182.95 %,187.2,494.0,2201.5,14.3,3267.0,37983.7,0.2,2919.2,23179.8,-2.0,2958.3,18372.9,13632.51 %,43.38 %,67.00 %,272.7,1283.2,12309.6,33178.57 %,51.91 %,147.25 %,4746.6,1695.7,55930.0,50.0,17443.9,4909.9,20.8,16227.8,228.6,28.0,15966.5,126.0,898.03 %,31.18 %,264.28 %,251.4,4978.6,333.0,1487.68 %,42.71 %,410.60 %,744.5,7450.9,20159.8,2.5,179.7,1018.5,1.5,132.2,85.5,2.2,177.5,80.1,9353.86 %,149.35 %,348.53 %,205.8,265.2,279.2,9071.85 %,154.78 %,881.45 %,226.6,278.1,8977.2,20.7,1074.3,195.4,14.4,1072.7,85.3,20.0,1075.5,87.9,917.60 %,4.48 %,266.90 %,183.2,48.2,234.5,935.72 %,5.48 %,211.50 %,193.8,58.9,413.2
G101A2,,4012900,4819,354,100.00 %,0.12 %,0.01 %,100.00 %,0.12 %,0.01 %,44587.65,53.54,3.93,1.9,984.4,1236.6,0.0,894.8,610.9,0.1,902.3,591.2,122759.27 %,38.56 %,104.12 %,122.8,348.0,615.5,14577.94 %,47.53 %,143.44 %,279.2,467.9,1773.8,11.8,3291.6,41045.4,0.1,2942.1,24529.9,-2.4,2980.6,20489.1,11304.82 %,43.11 %,80.53 %,271.3,1284.8,16500.7,10894.96 %,51.87 %,143.14 %,1287.4,1707.4,58754.2,49.3,17183.6,3607.2,21.0,16039.4,239.0,28.5,15838.2,112.9,880.72 %,30.91 %,301.57 %,251.0,4895.7,340.6,1539.67 %,41.33 %,339.91 %,758.7,7101.6,12261.4,2.6,185.9,436.1,1.6,135.8,82.1,2.3,181.2,77.6,8914.94 %,149.49 %,329.48 %,205.0,270.9,255.7,8396.87 %,152.21 %,1188.41 %,215.7,283.0,5182.4,20.9,1073.7,191.7,14.6,1072.1,89.4,20.3,1075.0,72.9,898.82 %,4.45 %,322.74 %,182.6,47.9,235.4,923.92 %,5.60 %,216.12 %,193.1,60.2,414.3
G101A3,,4099629,4985,349,100.00 %,0.12 %,0.01 %,100.00 %,0.12 %,0.01 %,45551.45,55.39,3.88,1.7,998.4,1181.1,0.0,904.0,592.6,0.0,914.3,520.9,####,38.74 %,101.87 %,122.6,354.2,530.6,12975.30 %,47.67 %,163.87 %,223.0,476.0,1935.4,11.3,3308.4,38609.5,0.1,2962.8,24369.5,-2.2,2968.6,19841.3,12312.32 %,41.65 %,70.46 %,270.9,1236.5,13979.9,9838.23 %,52.30 %,134.22 %,1108.5,1730.2,51821.8,49.2,17330.0,3853.3,20.8,16126.1,246.5,28.0,15911.4,144.8,894.33 %,30.71 %,199.05 %,250.4,4885.9,288.2,1461.77 %,42.18 %,389.86 %,719.4,7309.1,15022.2,2.4,194.1,439.5,1.5,144.0,77.7,2.2,189.3,76.2,9306.68 %,142.93 %,294.38 %,204.7,270.6,224.3,8888.72 %,145.93 %,1168.39 %,215.1,283.3,5135.6,20.7,1073.4,206.5,14.4,1071.9,96.3,19.9,1075.2,98.9,916.33 %,4.46 %,206.59 %,182.3,48.0,204.4,931.86 %,5.37 %,199.05 %,192.7,57.6,410.9
G102M1,,4059449,4419,214,100.00 %,0.11 %,0.01 %,100.00 %,0.11 %,0.01 %,45104.93,49.10,2.38,1.7,1041.7,1661.6,0.2,943.1,763.5,0.3,944.0,728.9,40573.82 %,38.54 %,113.70 %,121.7,363.8,828.8,14931.64 %,48.63 %,145.59 %,250.8,506.6,2419.3,12.2,3432.0,53468.7,1.5,3090.7,29816.7,1.2,3099.6,27154.7,22201.93 %,39.19 %,87.01 %,266.4,1214.8,23626.3,43084.97 %,52.09 %,136.27 %,5262.9,1787.6,72859.8,48.0,18223.0,5243.3,20.8,17146.0,342.5,28.5,16547.6,96.7,877.60 %,29.84 %,396.46 %,250.1,4938.2,383.2,1503.49 %,40.96 %,330.22 %,722.0,7464.5,17314.6,2.5,177.5,657.6,1.5,129.3,94.0,2.3,172.8,108.3,8889.15 %,155.55 %,217.77 %,204.5,268.8,235.7,8603.71 %,156.83 %,1121.49 %,215.6,278.3,7375.2,20.7,1076.1,223.5,14.5,1074.9,102.8,20.2,1075.9,69.5,899.51 %,4.37 %,410.27 %,181.9,47.0,285.0,926.97 %,4.95 %,205.97 %,191.8,53.2,460.3
G102M2,,4020635,4416,205,100.00 %,0.11 %,0.01 %,100.00 %,0.11 %,0.01 %,44673.74,49.07,2.28,1.6,1046.9,1419.4,0.3,949.0,674.8,0.3,950.6,604.7,40573.82 %,38.40 %,98.64 %,121.7,365.0,596.5,13774.20 %,49.06 %,155.03 %,224.1,513.6,2200.5,8.8,3451.1,44175.7,1.5,3097.9,25799.3,1.1,3093.6,20833.4,24220.29 %,40.11 %,72.15 %,266.4,1240.9,15031.6,9447.61 %,53.10 %,145.43 %,830.3,1832.5,64243.1,47.8,18278.2,4221.9,20.5,17195.9,306.6,28.0,16602.7,141.9,892.21 %,30.38 %,218.79 %,249.8,5044.0,310.5,1512.99 %,41.34 %,357.84 %,723.5,7555.8,15107.8,2.4,173.5,655.1,1.5,126.5,72.3,2.1,173.0,74.1,9735.74 %,154.30 %,334.74 %,204.5,266.9,248.0,8971.10 %,156.17 %,1034.47 %,214.3,271.0,6776.6,20.4,1076.0,216.4,14.2,1074.7,105.4,19.9,1074.8,102.7,913.41 %,4.22 %,211.44 %,181.7,45.3,217.2,937.81 %,5.02 %,190.90 %,191.5,54.0,413.1
G102M3,,4031817,4483,200,100.00 %,0.11 %,0.00 %,100.00 %,0.11 %,0.00 %,44797.78,49.81,2.22,2.1,1045.4,1973.6,0.3,949.0,815.0,0.4,947.6,772.5,30467.43 %,38.65 %,112.24 %,121.9,366.2,867.0,15486.85 %,47.73 %,147.54 %,325.2,498.9,2911.8,10.2,3440.2,58222.4,1.4,3109.5,29509.0,0.6,3103.6,22416.1,44280.32 %,38.88 %,84.11 %,265.7,1206.7,18853.1,12981.31 %,50.24 %,145.39 %,1323.3,1728.4,84648.7,48.5,18215.9,7614.4,20.7,17164.7,558.6,28.2,16713.2,145.8,885.35 %,30.01 %,265.45 %,249.7,5016.2,387.0,1545.84 %,39.86 %,261.65 %,749.1,7261.3,19922.9,2.5,173.8,177.4,1.6,128.3,111.0,2.3,174.3,107.2,8876.26 %,153.96 %,233.01 %,204.2,268.4,249.7,8389.30 %,158.45 %,228.10 %,208.6,275.4,404.6,20.6,1079.5,321.5,14.4,1078.2,139.7,20.0,1078.6,115.7,905.12 %,4.07 %,243.59 %,181.4,43.9,281.7,930.43 %,4.81 %,163.89 %,191.4,51.9,526.9
G102A1,,4156822,4693,217,100.00 %,0.11 %,0.01 %,100.00 %,0.11 %,0.01 %,46186.83,52.14,2.41,1.7,1021.5,1494.1,0.1,926.2,664.9,0.1,933.2,629.4,122017.96 %,39.34 %,108.59 %,122.0,367.1,683.5,13560.11 %,46.29 %,156.07 %,233.3,472.8,2331.8,8.5,3357.9,44768.5,1.1,3040.1,25355.9,0.1,3067.6,20492.5,266274.90 %,39.43 %,79.44 %,266.3,1209.5,16278.4,9643.62 %,48.59 %,146.19 %,818.6,1631.6,65445.7,47.9,17941.6,4427.3,20.5,16934.4,237.6,28.0,16419.0,132.0,891.68 %,30.44 %,253.28 %,249.7,4997.7,334.3,1485.73 %,39.00 %,348.04 %,711.7,6997.5,15408.8,2.3,192.2,150.1,1.4,144.5,83.0,2.1,193.9,81.7,9728.68 %,140.38 %,291.08 %,204.3,272.2,237.8,9104.78 %,145.36 %,244.46 %,208.5,279.4,366.9,20.4,1073.4,196.9,14.2,1072.1,86.4,19.9,1074.0,100.1,910.74 %,4.34 %,251.09 %,181.3,46.6,251.4,938.83 %,4.84 %,213.33 %,191.3,52.0,420.0
