Experiment Name:,Exp_20210303_2

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
K100M1,,4352479,2299,251,100.00 %,0.05 %,0.01 %,100.00 %,0.05 %,0.01 %,48360.57,25.54,2.79,1.3,815.3,1410.2,0.3,727.1,605.2,0.5,751.0,548.6,24522.20 %,40.00 %,99.07 %,122.6,300.4,543.5,18034.76 %,50.70 %,162.06 %,231.6,413.3,2285.4,8.8,2874.0,46352.8,2.0,2497.8,24790.4,2.0,2641.4,19285.5,13847.48 %,50.49 %,71.82 %,276.9,1333.7,13851.2,12699.06 %,54.61 %,157.72 %,1111.4,1569.5,73107.3,36.6,15117.0,3179.2,20.6,14284.6,230.0,28.4,13784.1,118.1,903.66 %,29.60 %,281.83 %,256.6,4079.8,332.8,1358.00 %,39.68 %,408.46 %,497.0,5998.2,12985.7,2.5,90.7,281.6,1.6,65.4,71.0,2.5,85.5,67.7,8409.31 %,304.15 %,379.08 %,210.2,260.0,256.6,8716.31 %,304.72 %,875.85 %,218.7,276.3,2466.4,20.4,1076.5,177.3,14.5,1074.8,92.3,20.2,1074.7,80.4,924.69 %,4.79 %,297.03 %,186.7,51.5,238.9,959.99 %,5.78 %,229.18 %,196.1,62.3,406.4
K100M2,,4386540,2440,298,100.00 %,0.06 %,0.01 %,100.00 %,0.06 %,0.01 %,48739.12,27.11,3.31,1.2,828.0,1354.6,0.3,740.8,680.0,0.5,755.4,621.7,24403.60 %,41.86 %,104.89 %,122.0,316.2,652.0,12125.42 %,51.25 %,139.89 %,145.6,424.4,1895.0,8.6,2911.3,45471.9,1.8,2527.5,26662.9,1.9,2626.9,21429.0,14310.99 %,49.16 %,79.85 %,271.9,1291.3,17110.4,8707.80 %,59.48 %,134.43 %,747.1,1731.7,61125.9,36.6,15079.4,1887.0,20.5,14252.7,154.2,28.4,13878.6,106.9,892.17 %,29.94 %,253.68 %,253.4,4154.8,271.3,1279.93 %,41.25 %,382.40 %,468.6,6219.5,7215.9,2.4,86.9,112.3,1.5,63.7,53.6,2.3,80.8,70.7,9018.08 %,329.99 %,342.34 %,207.4,266.8,242.0,8924.61 %,312.65 %,335.47 %,212.6,271.8,376.8,20.3,1078.6,152.2,14.4,1077.0,72.7,20.2,1079.2,71.9,911.33 %,4.64 %,285.48 %,184.4,50.1,205.4,953.01 %,5.62 %,241.34 %,193.4,60.6,367.3
K100M3,,4390988,2360,261,100.00 %,0.05 %,0.01 %,100.00 %,0.05 %,0.01 %,48788.57,26.22,2.90,1.4,819.0,1258.7,0.3,729.9,610.8,0.4,750.5,558.0,30467.43 %,40.55 %,98.81 %,121.9,304.3,551.4,17348.88 %,50.47 %,151.79 %,245.8,413.3,1910.6,10.4,2938.6,43871.3,1.5,2531.4,25449.0,1.4,2601.8,19606.0,19231.44 %,50.08 %,74.09 %,269.2,1303.1,14526.5,50983.63 %,63.68 %,144.23 %,5300.6,1871.4,63275.0,36.0,14982.8,1631.2,20.3,14184.7,166.2,28.0,13793.0,110.0,898.56 %,30.47 %,322.80 %,251.6,4202.8,355.1,1257.01 %,38.12 %,380.39 %,452.9,5711.4,6205.1,2.3,80.3,132.7,1.4,57.8,58.2,2.1,83.7,67.2,9792.22 %,306.44 %,338.22 %,205.6,256.5,227.3,9236.47 %,335.33 %,381.17 %,210.4,269.4,505.6,20.1,1068.1,153.8,14.3,1066.6,78.8,19.9,1068.1,85.5,919.58 %,5.08 %,286.96 %,183.0,54.3,245.3,951.69 %,5.32 %,230.53 %,191.5,56.8,354.6
K101A1,,4394640,3325,382,100.00 %,0.08 %,0.01 %,100.00 %,0.08 %,0.01 %,48829.23,36.94,4.24,1.6,860.3,1085.7,0.2,777.6,498.6,0.4,801.4,499.4,30615.69 %,37.37 %,93.63 %,122.5,299.5,467.5,15672.12 %,48.02 %,172.67 %,253.1,413.1,1874.7,10.0,3219.4,39484.1,0.5,2843.9,22528.6,-2.0,2917.6,18278.1,13617.68 %,43.50 %,73.03 %,272.4,1269.1,13349.2,11152.33 %,56.02 %,161.70 %,1113.8,1803.5,63845.4,37.5,12884.8,1636.7,20.4,11478.3,112.2,27.9,12229.0,52.3,898.59 %,42.78 %,558.46 %,250.7,5232.1,292.1,1266.35 %,50.55 %,407.43 %,474.5,6513.8,6668.4,2.5,143.5,77.1,1.6,102.0,37.3,2.3,142.9,56.5,8902.05 %,193.60 %,411.16 %,204.7,276.7,232.1,8520.79 %,197.53 %,376.22 %,209.4,283.5,290.1,20.1,1041.0,112.0,14.2,1037.4,45.9,19.8,1054.1,37.4,920.10 %,6.44 %,558.65 %,182.3,67.9,208.9,953.86 %,8.15 %,329.46 %,191.3,84.8,369.0
K101A2,,4403598,3264,379,100.00 %,0.07 %,0.01 %,100.00 %,0.07 %,0.01 %,48928.66,36.27,4.21,1.5,868.6,1119.1,0.3,785.1,498.4,0.4,806.5,449.3,30578.63 %,40.03 %,93.45 %,122.3,322.8,419.9,15105.14 %,48.01 %,174.22 %,219.7,417.1,1949.7,9.8,3175.0,41336.7,0.3,2802.5,23043.6,-2.4,2851.4,18142.4,11323.36 %,44.07 %,71.65 %,271.8,1256.5,12998.8,14299.86 %,56.08 %,158.09 %,1406.0,1780.6,65351.2,37.1,13078.8,1825.9,20.1,11692.0,110.1,27.6,12349.6,49.8,906.75 %,40.99 %,568.33 %,250.3,5062.2,283.0,1290.83 %,50.19 %,401.28 %,479.2,6564.2,7326.8,2.4,159.4,69.8,1.5,113.2,41.5,2.2,153.9,43.2,9286.47 %,168.83 %,530.92 %,204.3,259.8,229.4,8592.86 %,173.32 %,396.69 %,209.1,276.2,277.0,19.8,1042.8,113.4,14.0,1039.4,51.6,19.6,1055.5,39.6,928.52 %,6.18 %,523.83 %,181.9,65.3,207.6,963.76 %,7.82 %,311.38 %,190.8,81.5,353.1
K101A3,,4368957,3437,369,100.00 %,0.08 %,0.01 %,100.00 %,0.08 %,0.01 %,48543.78,38.19,4.10,1.7,862.3,1197.2,0.3,781.5,563.3,0.3,796.5,525.2,40722.07 %,39.65 %,93.98 %,122.2,315.8,493.6,15995.83 %,47.06 %,159.63 %,264.4,405.8,1911.2,11.4,3192.4,44260.5,0.3,2850.2,24306.4,-2.4,2917.3,19926.2,11304.82 %,43.22 %,76.89 %,271.3,1260.8,15320.4,20337.57 %,51.48 %,153.17 %,2314.9,1643.4,67794.2,37.5,13032.9,1686.1,20.0,11692.1,123.2,27.5,12412.2,75.5,909.51 %,40.22 %,394.51 %,250.1,4991.6,297.9,1306.38 %,48.75 %,379.47 %,489.6,6353.8,6398.1,2.3,158.9,127.4,1.4,116.2,47.7,2.1,152.7,73.8,9735.74 %,177.29 %,285.07 %,204.5,270.7,210.4,9013.70 %,174.86 %,653.02 %,208.8,277.9,831.9,19.7,1044.6,128.8,13.9,1041.3,52.4,19.6,1056.9,50.1,929.70 %,6.10 %,422.11 %,181.8,64.5,211.4,968.97 %,7.77 %,283.78 %,190.6,81.1,365.6
K102A1,,4398082,2700,293,100.00 %,0.06 %,0.01 %,100.00 %,0.06 %,0.01 %,48867.43,30.00,3.26,1.4,925.3,1563.5,0.2,846.8,645.3,0.4,853.9,584.0,30467.43 %,38.30 %,108.68 %,121.9,327.1,634.7,17937.98 %,44.15 %,157.37 %,248.7,408.5,2460.5,9.2,3185.2,53839.1,1.6,2890.2,26729.4,1.2,2889.0,20635.6,22164.87 %,35.46 %,79.63 %,266.0,1024.5,16432.8,14997.12 %,51.70 %,156.35 %,1373.0,1646.9,84178.9,37.5,15431.7,3127.8,20.3,14697.3,254.6,28.1,14385.4,102.7,888.50 %,28.04 %,318.17 %,249.7,4033.6,326.8,1349.39 %,34.38 %,276.96 %,506.3,5305.6,8662.7,2.5,127.6,115.6,1.6,89.2,69.8,2.4,128.1,65.7,8500.24 %,199.49 %,362.41 %,204.0,255.5,238.1,8478.95 %,203.32 %,233.77 %,208.1,259.4,270.1,20.1,1077.5,195.5,14.2,1075.7,92.6,19.9,1078.3,73.1,909.40 %,4.59 %,318.47 %,181.4,49.5,232.8,946.16 %,5.88 %,224.40 %,190.0,63.4,438.8
K102A2,,4402497,2730,313,100.00 %,0.06 %,0.01 %,100.00 %,0.06 %,0.01 %,48916.27,30.33,3.48,1.5,944.1,1280.4,0.3,854.7,635.2,0.4,871.2,627.5,30393.30 %,38.57 %,101.38 %,121.6,336.0,636.2,17019.22 %,47.92 %,141.92 %,257.9,452.4,1817.1,10.6,3220.6,43259.0,1.6,2884.5,26082.4,1.6,2877.4,22714.7,16614.39 %,37.73 %,79.10 %,265.8,1085.7,17968.1,38804.15 %,57.10 %,138.06 %,4109.1,1838.9,59721.7,37.6,15588.8,3531.4,20.4,14769.4,250.3,28.2,14537.2,81.3,883.25 %,29.00 %,412.50 %,249.1,4215.6,335.4,1315.87 %,38.04 %,303.10 %,494.8,5929.8,10703.7,2.5,140.1,120.4,1.5,100.7,52.2,2.5,143.0,42.3,8154.30 %,180.76 %,570.96 %,203.9,258.5,241.5,8447.93 %,192.91 %,503.22 %,208.0,270.3,605.9,20.1,1067.8,188.0,14.3,1066.2,80.7,20.0,1068.4,56.3,905.04 %,4.71 %,443.96 %,181.0,50.3,250.0,945.27 %,5.64 %,229.53 %,189.6,60.2,431.5
K102A3,,4402191,2564,283,100.00 %,0.06 %,0.01 %,100.00 %,0.06 %,0.01 %,48912.95,28.49,3.14,1.3,940.1,1171.7,0.2,853.2,567.6,0.4,872.8,546.0,30356.24 %,40.04 %,98.68 %,121.4,349.4,538.8,18812.03 %,46.48 %,155.00 %,252.8,437.0,1816.1,7.5,3179.3,39464.5,1.6,2860.6,23508.9,1.4,2855.9,17778.0,18987.87 %,37.90 %,68.45 %,265.8,1082.4,12169.0,11110.85 %,55.10 %,146.70 %,829.0,1751.9,57895.6,36.8,15544.0,2345.9,20.3,14736.8,206.8,28.1,14320.7,83.7,886.92 %,28.78 %,398.37 %,249.2,4120.9,333.4,1293.14 %,37.83 %,292.72 %,476.3,5881.0,6867.0,2.3,130.7,58.0,1.4,95.9,33.0,2.3,134.9,49.5,8863.37 %,194.42 %,492.10 %,203.9,262.3,243.6,9107.86 %,207.33 %,449.45 %,207.8,271.0,260.7,20.0,1073.8,160.0,14.2,1072.3,69.4,19.9,1074.3,58.1,907.67 %,4.59 %,430.60 %,180.9,49.3,250.3,948.05 %,5.28 %,257.63 %,189.4,56.7,412.3
K103A1,,4403185,2698,343,100.00 %,0.06 %,0.01 %,100.00 %,0.06 %,0.01 %,48924.22,29.98,3.81,1.5,1000.8,1205.7,0.3,921.7,592.6,0.4,934.6,539.6,30393.30 %,37.52 %,99.41 %,121.6,350.6,536.4,14588.85 %,41.91 %,146.71 %,218.2,419.4,1768.9,9.0,3383.7,40516.9,1.6,3083.1,24238.9,1.3,3057.7,18850.0,20402.86 %,34.77 %,69.52 %,265.2,1063.2,13104.8,10994.63 %,53.12 %,146.67 %,990.5,1797.4,59425.2,38.1,16484.7,3015.8,20.4,15729.7,185.9,28.1,15561.8,104.5,886.39 %,28.42 %,288.72 %,249.1,4422.0,301.7,1369.98 %,33.55 %,337.05 %,521.6,5529.9,10164.6,2.3,155.0,79.4,1.5,112.9,43.6,2.2,152.5,67.3,9266.25 %,173.05 %,352.26 %,203.9,263.9,237.1,9038.44 %,174.70 %,378.40 %,207.8,270.8,300.4,20.0,1069.7,183.3,14.2,1068.3,75.0,20.0,1070.3,77.6,906.16 %,4.15 %,298.34 %,181.0,44.4,231.5,947.21 %,5.19 %,226.96 %,189.4,55.6,416.0
