Experiment Name:,Exp_20210104_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
06bA,,4039955,41516,710,100.00%,1.03%,0.02%,100.00%,1.03%,0.02%,44888.38,461.29,7.89,7.9,1094.1,1777.5,51.7,3998.5,60399.9,2.5,174,306.7,222.3,19243.9,8298.1,21.4,1087.6,322.2,-0.8,987,750.4,-10.1,3396.2,30962.6,1.3,123.2,68.5,19.7,17765.1,688.4,11.1,1085.6,157.3,-3.1,992,691.1,-21.7,3431.6,24213.3,1.8,164.8,80.2,19.3,16868.9,160.4,13.6,1083,120.5,3983.89%,33.36%,115.28%,1280.37%,40.53%,84.74%,11383.07%,158.34%,337.56%,1316.67%,24.59%,255.49%,1358.44%,3.83%,251.44%,123.5,331,796.7,277.8,1390.7,20517.6,204.9,260.9,270.7,254.1,4148.6,409.9,184.5,41.5,302.9,4060.56%,78.78%,143.04%,16895.83%,119.52%,144.18%,9044.87%,184.02%,1671.05%,1660.25%,87.04%,243.49%,1016.68%,6.88%,165.14%,321.1,862,2542.4,8737,4779.2,87087,222.9,320.3,5125.8,3691.2,16750.4,20204.6,217.8,74.9,532.1
10bA,,4009329,43838,947,100.00%,1.09%,0.02%,100.00%,1.09%,0.02%,44548.18,487.09,10.52,8.9,1071.3,1820.4,53.8,3969.3,61794.2,2.7,207.3,164.5,234.3,19129.6,8671,21.9,1074.7,321.1,-0.7,952,780.6,-9.9,3293.7,31272.7,1.4,144.8,88,20,17410.4,624.1,11.2,1072.6,153,-3.1,954.3,682.8,-21.4,3318.7,24729.1,1.7,193.5,87.2,19,16384.8,166.7,13.4,1069.1,121,3955.19%,33.93%,106.01%,1298.31%,40.85%,82.40%,12087.55%,136.54%,315.56%,1337.46%,24.30%,225.19%,1376.43%,3.92%,230.64%,122.6,323.8,723.8,277.8,1355.7,20376,205.5,264.2,275.2,254.1,3981.8,375.4,184.5,41.9,279.2,4440.27%,87.47%,150.14%,9297.70%,135.80%,149.86%,7931.40%,175.99%,243.22%,1577.38%,101.13%,254.36%,999.35%,7.13%,164.29%,394.6,937.1,2733,5001.2,5390.3,92607.1,214.3,364.8,400.2,3695.6,19346.6,22055.1,218.8,76.6,527.5
03aA,,4001406,36255,864,100.00%,0.91%,0.02%,100.00%,0.91%,0.02%,44460.22,402.83,9.6,7.9,1164.6,1663.7,46.9,4248.8,59829.1,2.3,154.5,125.1,210.2,20494.4,7636.5,20.5,1098.4,308.5,-0.6,1056,681.4,-9.9,3637.9,30441.9,1.3,108.8,73.3,19,18985.3,623.7,10.9,1096.4,143.4,-2.5,1057.6,601.2,-21.2,3640.6,24164.3,1.9,147.5,87.9,18.9,18082.4,150.1,13.3,1093.9,103.1,4922.23%,33.31%,114.46%,1312.66%,38.88%,83.90%,10783.97%,180.02%,285.22%,1343.75%,25.38%,274.89%,1384.10%,3.67%,291.64%,123.1,352.3,688.1,278.3,1415.6,20274.5,204.9,265.5,250.7,254,4588.5,412.6,184.5,40.2,300.5,3981.96%,71.63%,146.29%,9797.66%,109.09%,150.39%,9048.41%,197.16%,262.17%,1721.62%,79.39%,221.00%,1047.77%,6.73%,174.02%,314.4,834.2,2433.9,4595.4,4635.2,89974.8,211.3,304.6,328.1,3618.8,16270.4,16876.4,215.3,73.9,536.8
07aA,,3979496,43992,838,100.00%,1.11%,0.02%,100.00%,1.11%,0.02%,44216.69,488.8,9.31,8.6,1082.6,1680.6,53.8,3997.3,57082.2,2.4,182.9,123.4,236.7,19236.3,7864,22,1082.9,312.3,-0.8,971.2,746.7,-10.6,3370.3,30102.4,1.3,128.6,68.1,20,17655.1,593.4,11.1,1080.8,148.3,-3.2,976.7,680.5,-22.9,3413.9,24032.3,1.6,171.4,72.8,18.9,16719.8,172.3,13.3,1078.3,121.2,3864.03%,33.60%,112.29%,1218.45%,40.67%,84.85%,12833.76%,154.75%,339.83%,1346.11%,24.69%,245.02%,1386.61%,3.93%,245.91%,123.6,328.2,764.1,279,1388.5,20392.6,205.3,265.2,247.2,254.4,4128.8,422.2,184.9,42.3,298.1,3626.42%,80.81%,144.14%,10790.86%,123.10%,145.25%,8724.58%,181.90%,283.05%,1504.59%,92.59%,256.28%,998.15%,6.95%,163.95%,313.2,874.9,2422.4,5803.7,4920.9,82909.9,213.3,332.7,349.2,3560.6,17810,20153.9,219.6,75.3,512
11aA,,4029973,45442,931,100.00%,1.13%,0.02%,100.00%,1.13%,0.02%,44777.59,504.91,10.34,8.6,1057,1822.1,53.2,3914.1,61586.6,2.7,199.8,146.8,234.8,18773,8374.1,22.2,1080,342.4,-0.8,951.8,791.7,-10.1,3327.6,31821,1.4,142.9,86.5,20.3,17368.1,816.2,11.3,1078,177.8,-3.2,958.7,745.3,-21.9,3357.6,25653.3,1.7,188.9,93.6,19,16426.1,181,13.4,1075.5,128.7,3854.76%,33.90%,112.41%,1274.09%,39.98%,89.02%,12070.11%,138.61%,265.32%,1339.80%,24.67%,246.80%,1379.32%,3.91%,258.42%,123.4,325,837.8,279,1342.3,22837.2,205.2,261.8,248.3,254.6,4052.6,446.7,184.9,42.1,332.5,3547.65%,77.19%,141.93%,10210.51%,117.49%,145.56%,8764.09%,167.26%,242.92%,1488.24%,86.24%,232.72%,990.14%,6.85%,157.46%,304.1,815.9,2586,5434.3,4598.9,89644.3,236,334.2,356.6,3494.5,16188.9,19487.9,220,74,539.1
03bA,,4009967,37903,897,100.00%,0.95%,0.02%,100.00%,0.95%,0.02%,44555.23,421.14,9.97,8.1,1178.2,1666.1,45.2,4300.7,57032.2,2.5,167.9,102.1,219.7,20678,7778.6,20.9,1099.2,303.6,-0.7,1061.3,713.4,-10.4,3664.4,29938.5,1.4,118.1,58.5,19.2,19008.3,576.1,10.9,1097.1,141.6,-2.7,1060,655.4,-21.9,3654,23800.9,2,158.9,75.7,19.1,18090.6,148.7,13.5,1094,103,4557.62%,33.65%,112.97%,1273.41%,39.05%,82.02%,10244.77%,164.31%,345.09%,1328.91%,25.75%,257.83%,1368.16%,3.68%,272.22%,123.1,356.7,740.4,278.9,1426.7,19522.6,204.9,261.1,261.2,253.8,4658.9,383.4,184.3,40.2,280.4,3876.76%,78.78%,148.88%,8878.36%,117.66%,146.57%,8311.16%,191.62%,307.14%,1718.22%,90.00%,259.26%,1034.68%,6.92%,174.02%,315.3,928.2,2480.6,4012.9,5060.3,83591.7,211.7,321.8,313.7,3774.1,18611.1,20166.7,216.3,76,528.3
07bA,,4003710,44860,977,100.00%,1.12%,0.02%,100.00%,1.12%,0.02%,44485.76,498.45,10.86,8.8,1087.6,1759,58,3997.3,59882.2,2.8,182.8,127.2,240.5,19236.7,8736.1,21.9,1080.5,309.8,-0.8,977.1,776.6,-10.5,3377.5,31107.5,1.5,128.5,63.3,19.9,17704.2,613.7,11,1078.3,137.8,-3.3,978.4,725.7,-22.3,3396.1,24348.2,2,171.2,67.9,18.4,16752,143.7,13,1075.6,102.4,3737.95%,33.78%,109.52%,1248.58%,40.59%,82.27%,10252.18%,153.72%,408.97%,1381.88%,24.75%,282.80%,1422.40%,3.89%,285.42%,123.4,330.5,794.8,278.4,1378.4,20030.4,205,263.2,277.7,254.3,4145.9,406.4,184.7,41.9,292.3,3577.16%,77.33%,143.66%,11823.43%,116.45%,146.58%,10227.76%,177.34%,316.07%,1561.39%,85.75%,297.73%,1005.73%,6.99%,170.96%,313.3,841.1,2527,6859.9,4654.8,87772.6,291.4,324.2,402,3754.5,16495.3,26009.8,219.9,75.6,529.7
11bA,,4063984,45154,941,100.00%,1.11%,0.02%,100.00%,1.11%,0.02%,45155.36,501.71,10.46,8.8,1065.7,2063.1,51.5,3968,69785.5,2.6,203.8,178.5,231.8,18859.5,10299.8,22.2,1077.7,376.7,-0.8,953.5,925.6,-10.2,3345.1,36480.9,1.4,143.5,97.2,20.3,17340.6,980.5,11.3,1075.5,188.3,-3.2,956.2,947.3,-22.1,3361.9,30139.1,1.7,189.4,103.5,19.1,16319.5,194.6,13.5,1072.2,142.4,3850.13%,33.75%,113.31%,1261.22%,40.54%,91.30%,12070.11%,141.29%,259.85%,1332.01%,24.89%,246.47%,1371.15%,3.97%,245.28%,123.2,322.8,1073.4,278.7,1362.8,27517.5,205.2,267.6,268.9,254.4,4062.7,479.6,184.7,42.5,349.2,4950.86%,77.31%,134.82%,9504.42%,117.20%,136.69%,8138.77%,164.19%,227.24%,1405.54%,83.22%,230.48%,988.84%,7.23%,151.17%,438,823.9,2781.4,4890.1,4650.5,95387.9,212.7,334.6,405.7,3258.2,15694.7,23738.9,219.3,77.9,569.5
04aA,,4031248,39404,1024,100.00%,0.98%,0.03%,100.00%,0.98%,0.03%,44791.75,437.82,11.38,8.5,1157.4,1625.3,55.8,4242.7,56358.9,2.7,172.2,105.1,225.9,20356.2,7351.9,21,1098.8,281.4,-0.7,1037.8,724.2,-10.5,3576.1,30489.5,1.5,119,55.8,19.4,18616.6,534.7,11,1096.7,125.2,-2.8,1037.6,658.8,-22.6,3581,24357.8,2,159.9,55.3,18.9,17640.1,121.4,13.3,1093.6,83.8,4400.15%,33.62%,107.97%,1235.94%,39.76%,82.16%,10252.18%,165.60%,420.67%,1344.54%,25.48%,321.36%,1391.97%,3.75%,347.26%,123.2,348.9,711.4,279.3,1423.7,20013.1,205,264.8,232.8,254.1,4495.2,390.3,184.8,41,291.1,4648.13%,83.42%,147.55%,10714.27%,126.62%,145.21%,7915.87%,193.40%,312.75%,1766.62%,97.38%,260.99%,1034.90%,7.03%,186.71%,394.5,965.5,2398.1,5980.5,5372.1,81838.4,212.8,333.1,328.6,3990.4,19822.6,19187.6,217.4,77.2,525.4
08aA,,3988184,43816,1051,100.00%,1.10%,0.03%,100.00%,1.10%,0.03%,44313.28,486.85,11.68,8.5,1091.7,1907.6,54.5,4032.8,63348.9,2.6,187.3,148.3,235.2,19334,9061.6,21.7,1086.7,330.6,-0.9,977,862.7,-10.5,3378.5,33572.8,1.4,132.1,88.2,19.7,17703.5,753,10.9,1084.5,153.2,-3.2,976.3,847.1,-22.8,3396.3,26910.4,1.7,176.6,98.9,18.5,16628.9,154.9,13.1,1081.7,113.4,3864.03%,33.68%,112.50%,1223.80%,40.68%,91.12%,12087.55%,148.51%,254.55%,1374.41%,24.37%,301.40%,1412.80%,3.87%,304.00%,123.6,328.8,953,279,1381.7,24522.1,205.5,262.3,251.7,254.3,4052,466.9,184.7,41.9,344.6,3612.54%,79.11%,139.46%,8638.78%,121.39%,138.44%,8296.44%,176.72%,248.13%,1442.11%,89.39%,242.88%,1013.19%,7.04%,169.14%,306.7,863.7,2660.3,4712.1,4895.3,87698.4,212.8,331.1,368,3391.9,17283.3,22008.9,219.7,76.5,559.1
12aA,,3993015,44926,845,100.00%,1.13%,0.02%,100.00%,1.13%,0.02%,44366.86,499.18,9.39,9,1088.7,1927,51.5,3913.4,65728.3,2.8,220.6,154.3,236.7,18898.2,9326.1,22.1,1077.7,365.1,-0.8,975.7,823.4,-10.1,3327.5,33339,1.4,155.8,84.2,20.2,17335.9,881.9,11.2,1075.6,182.9,-3.2,976.9,786.7,-21.8,3355.8,26032.9,2,206.1,100.8,18.8,16369.7,188.7,13.3,1072.5,129.6,3845.49%,33.80%,116.90%,1275.85%,38.15%,90.95%,10274.42%,128.26%,246.36%,1352.48%,24.58%,246.00%,1391.65%,3.95%,259.19%,123.1,330.2,919.7,278.1,1280.2,23676.7,205.5,264.3,248.3,254.3,4023.1,464.2,184.7,42.4,335.9,3793.42%,80.04%,142.57%,9334.63%,120.40%,140.14%,7817.26%,162.05%,276.12%,1635.12%,91.92%,253.11%,994.06%,6.95%,151.89%,339.8,871.3,2747.2,4806.7,4711.6,92108.6,215.9,357.5,426,3870.3,17371.8,23605.4,219.8,74.9,554.6
04bA,,4141941,40372,1038,100.00%,0.97%,0.03%,100.00%,0.97%,0.03%,46021.53,448.58,11.53,8.5,1132,1620.7,49.3,4135.2,56372.1,2.5,171.5,104.4,219.2,19913,7090.1,21.2,1086.8,279.5,-0.6,1021.3,718.1,-9.9,3526,29615.7,1.4,121.2,58.7,19.6,18369.5,517.7,11.1,1084.7,126.1,-2.6,1022.9,680.1,-21.1,3531.1,23945.1,1.8,161,73.4,19.4,17444.6,124.6,13.7,1081.9,88.2,4744.32%,33.74%,107.12%,1320.99%,39.82%,85.33%,11399.55%,162.99%,328.54%,1309.12%,25.62%,308.90%,1349.06%,3.72%,310.35%,123.4,345.1,728.5,278.7,1406.1,20432.8,205.2,262.4,241.1,254,4469.3,384.7,184.5,40.3,273.7,4265.75%,74.60%,152.99%,9993.19%,113.01%,148.11%,8534.62%,183.56%,312.40%,1681.38%,84.29%,286.28%,1018.97%,6.93%,183.87%,360.5,844.5,2479.5,4931.2,4673.2,83492.1,212,314.9,326.3,3685.4,16784.1,20297.3,216.5,75.4,513.9
08bA,,4220195,48235,1161,100.00%,1.14%,0.03%,100.00%,1.14%,0.03%,46890.91,535.94,12.9,8.8,1077.9,1800.7,54.8,3991.7,63608.5,2.6,193.4,130.1,241.4,19167.8,7946.2,22,1078.4,326.6,-0.8,962.7,788.8,-10.5,3340.5,32179.7,1.4,135.9,73.9,20.1,17531.8,708.3,11,1076.2,152.8,-3.3,965.3,770,-22.9,3356.1,26311,1.7,180.9,88.4,18.5,16534.7,146,13,1073.3,98.8,3755.92%,34.02%,114.58%,1219.10%,40.68%,88.34%,12070.11%,145.72%,271.03%,1375.21%,24.55%,289.72%,1419.96%,3.89%,306.50%,123.9,328.4,882.3,279.2,1365.3,23243.2,205.2,263.6,239.6,254.4,4059.5,423,184.8,41.8,302.8,3629.73%,83.01%,141.84%,8060.59%,127.69%,146.46%,8244.23%,176.91%,304.91%,1439.35%,94.23%,231.44%,1000.90%,7.06%,165.33%,317.9,894.7,2554.1,4417.9,5097.1,93161.7,212.8,342.1,396.6,3474,18061.3,18390.7,220.3,76.1,540
12bA,,3972111,45619,767,100.00%,1.15%,0.02%,100.00%,1.15%,0.02%,44134.64,506.88,8.52,9,1076.9,1515.4,50.5,3886.1,49302.8,2.5,171.5,129.4,241.1,18869.9,7332.5,21.9,1080.2,278.8,-0.8,978.9,661.1,-11.2,3409.9,26872.6,1.3,122,53.3,19.9,17643.8,542.1,10.9,1078.2,123.4,-3.3,994.9,588.7,-23.6,3465.6,21360.4,1.8,164.9,52.8,18.4,16811.4,111.3,12.9,1075.8,82.6,3724.47%,34.27%,107.81%,1181.68%,37.25%,77.77%,11399.55%,157.61%,429.06%,1382.69%,24.73%,336.08%,1429.05%,3.82%,337.52%,122.9,341,634.7,278.9,1291,16611.8,205.2,259.9,226.5,254.4,4158.2,374.1,184.8,41.1,278.8,4245.77%,69.66%,156.01%,11688.21%,104.88%,148.21%,8420.40%,181.69%,715.99%,1674.20%,79.15%,319.55%,1009.24%,6.96%,187.85%,382.8,750.2,2364.3,5902.6,4075.9,73073.4,213.8,311.6,926.5,4037.2,14935.1,23430.6,220.5,75.2,523.8
13aA,,3999923,43913,723,100.00%,1.10%,0.02%,100.00%,1.10%,0.02%,44443.53,487.92,8.03,8.9,1095.7,1809.8,45.5,3801.1,61825,3,238.6,156.8,227,18606.3,7649,22.3,1074.5,335.5,-0.5,992.3,809.4,-9.5,3280.4,32343.6,1.6,170.5,88.9,20.5,17251.4,676.4,11.5,1072.5,154.3,-2.7,997.8,736.5,-20.6,3306.9,27125.4,1.9,222.7,95.4,19.6,16396.9,188.6,13.8,1070.1,139.2,4563.11%,33.21%,111.94%,1347.29%,37.67%,89.40%,10807.37%,118.97%,278.49%,1297.27%,25.11%,244.17%,1336.94%,3.91%,245.85%,123.2,331.4,824.5,277.5,1245.8,24250,205.3,264.9,265.7,254.3,4118.1,460.5,184.6,41.9,342.3,3548.97%,75.53%,137.22%,10831.11%,115.34%,141.47%,7240.20%,148.47%,240.66%,1551.85%,84.73%,218.08%,978.93%,6.93%,158.81%,316.8,827.6,2483.3,4932.1,4384.3,87463.7,215.5,354.2,377.4,3522.8,15765.9,16680.8,218.7,74.4,532.8
17aA,,4040169,45668,652,100.00%,1.13%,0.02%,100.00%,1.13%,0.02%,44890.81,507.42,7.24,10.2,1172.2,2026.1,49.8,4099.6,65946.1,3,235.8,185.7,246.1,19655.3,10031.5,22.7,1076,373.1,-0.3,1067.7,864.6,-10.8,3580.1,33409,1.6,169.7,105.5,20.8,18299,870.9,11.6,1074,185.7,-2.7,1076.3,813.5,-23.1,3551.1,26398.3,1.9,223.4,119.9,19.6,17444.1,192.1,13.8,1071.1,142.5,4563.11%,32.78%,112.82%,1204.05%,36.36%,90.78%,10799.57%,118.06%,235.09%,1295.01%,24.35%,232.77%,1331.85%,3.76%,236.25%,123.2,352.8,917.7,278.1,1291.1,23963.7,205.2,263.8,282,253.8,4248.2,447.2,184.3,40.3,336.6,2971.94%,69.99%,145.67%,9938.69%,107.38%,146.41%,7093.01%,145.10%,241.86%,1416.84%,80.03%,248.64%,967.99%,6.97%,147.70%,303.9,820.5,2951.4,4945.2,4402.3,96549.2,214.2,342.1,449.2,3486.8,15730,24942.2,219.4,75,551.1
21aA,,4312424,49757,595,100.00%,1.15%,0.01%,100.00%,1.15%,0.01%,47915.95,552.86,6.61,11.1,1206.4,1844.5,56.5,4351.3,60500.3,3.4,276.8,198.7,260.1,20390.7,9849.9,23.1,1068.4,340.3,-0.1,1106.8,738.8,-11.1,3848.5,29936.6,1.7,202.5,104.4,21.3,19166.6,714.3,11.8,1066.5,169.3,-2.4,1118.6,693.6,-23.6,3829.3,23385.3,2,263,103.4,20.1,18528.9,180.9,14.2,1063.6,139.7,5127.32%,32.21%,114.49%,1182.31%,35.29%,86.82%,10281.83%,102.32%,272.14%,1265.74%,23.03%,237.76%,1302.74%,3.54%,231.77%,123.1,360.3,794.1,279,1351.2,20302,205.6,269.1,281.4,254.4,4267.1,430.1,184.8,37.7,323.7,3107.30%,65.83%,153.36%,16147.77%,99.57%,150.91%,6410.00%,131.82%,237.73%,1469.56%,76.97%,248.57%,950.59%,6.74%,158.23%,345.7,794.2,2828.7,9124.4,4332.6,91303.3,217.7,364.8,472.3,3821.9,15695.6,24484.1,219.7,72.1,538.4
13bA,,4061043,43319,449,100.00%,1.07%,0.01%,100.00%,1.07%,0.01%,45122.84,481.32,4.99,8.3,1085.7,1459.5,37.2,3749.7,46733.5,2.9,213.9,165.1,220.8,18447.9,7640.8,22,1080.6,304.7,-0.6,993,635.9,-9.7,3298,25600.3,1.5,154,85.7,20.1,17284,616.3,11.3,1078.7,148.3,-2.9,1005.8,547.3,-20.5,3339.3,20023.2,1.9,204.7,99.4,19.4,16488,150,13.7,1076.8,110,4238.19%,33.28%,108.84%,1353.14%,37.29%,71.52%,10807.37%,128.85%,222.99%,1309.12%,24.78%,267.96%,1344.54%,3.85%,267.21%,122.9,334.8,595.7,277.4,1245.1,14321.2,205.3,263.8,221.6,254,4086.3,401.9,184.4,41.5,294,3945.00%,68.49%,155.42%,15013.75%,104.38%,147.24%,8324.76%,151.91%,257.44%,1745.54%,76.89%,266.51%,989.61%,6.59%,170.64%,325.9,743.6,2268.4,5579.2,3913.8,68809.7,242.5,325,424.9,3854.2,14185.3,20363.3,218.1,71.2,519.9
17bA,,4018020,44804,606,100.00%,1.12%,0.02%,100.00%,1.12%,0.02%,44644.75,497.82,6.73,11,1173.7,1712.1,46.6,4115.8,56575.9,3,245.2,187.4,243.2,19638.6,8813,22.7,1078.9,361.2,-0.4,1073.8,812.1,-10.4,3613.5,30617.7,1.6,178,99.3,20.9,18353.3,863.3,11.7,1076.8,177.9,-2.7,1078.3,771.3,-22.5,3592.1,24600.3,1.9,232.3,107.9,19.9,17500.8,186.5,14,1073.6,129.3,4568.60%,32.49%,110.48%,1236.16%,35.84%,85.57%,10799.57%,114.37%,251.68%,1276.23%,24.52%,239.47%,1313.30%,3.73%,250.09%,123.4,350.3,852.1,278.1,1287.6,21050.6,205.2,265.7,271.7,254,4291.2,446.5,184.3,40.1,323.4,4418.24%,64.73%,137.11%,8731.19%,97.83%,145.35%,7108.93%,134.59%,226.92%,1467.88%,71.89%,227.53%,967.49%,7.02%,153.38%,486.8,759.8,2347.5,4069.7,4026.5,82233.3,214.9,330,425.3,3570.1,14117.4,20052.1,219.2,75.7,553.9
21bA,,4345090,50940,740,100.00%,1.17%,0.02%,100.00%,1.17%,0.02%,48278.96,566,8.22,11.3,1214,1773.3,50.6,4397.6,57011.2,3.1,273.5,198,261.3,20499.7,8987.1,23.2,1071.7,330.1,-0.1,1111.7,783.4,-11.2,3893.7,30742,1.5,201.3,107.2,21.5,19268.1,706.2,12,1069.7,154.3,-2.4,1123.6,712.7,-23.8,3857.4,24029.1,1.7,258.3,127.7,20.1,18612.8,167.6,14.2,1066.4,127.9,5127.32%,32.72%,111.76%,1173.00%,35.35%,84.83%,12104.99%,102.46%,205.23%,1265.00%,23.37%,254.78%,1301.17%,3.56%,254.67%,123.1,367.6,796.5,279.2,1363.5,20384.5,205.8,264.6,262,254.3,4350.6,427.1,184.5,37.9,325.7,2855.67%,62.87%,149.06%,9751.88%,90.63%,143.42%,6914.11%,125.38%,235.25%,1179.47%,68.56%,269.38%,947.53%,6.96%,158.62%,321.9,763.2,2643.2,4930.2,3985.4,81765.6,213.8,342.9,465.7,3081.9,14053.6,24209.5,220.1,74.6,523.6
14aA,,4026720,37080,624,100.00%,0.92%,0.02%,100.00%,0.92%,0.02%,44741.38,412,6.93,8.1,1118.7,1834.4,37.8,3874,58633.3,2.8,217.7,174.9,200.3,19080.7,9228.6,21.9,1078.2,335.7,-0.4,1013.3,827.7,-7.7,3344.8,31475.8,1.6,155.5,99.6,20.5,17678.7,773.6,11.9,1076.2,155.3,-2.2,1018.3,767.2,-16.9,3340.5,24515.6,2,206.6,104.1,21.1,16739.8,164.6,14.9,1073.3,108.5,5546.27%,32.94%,111.84%,1631.74%,37.22%,83.43%,10244.77%,129.31%,249.24%,1201.54%,24.01%,271.83%,1236.20%,3.89%,296.68%,122,335.4,858,275.8,1243.2,20453.9,204.9,267.2,259.5,253.5,4018.6,447.3,184.2,41.8,321.8,4880.30%,72.21%,143.56%,9207.93%,109.02%,141.05%,7728.89%,155.87%,248.91%,1665.79%,80.73%,258.00%,978.60%,6.71%,164.50%,397.1,807.8,2633.5,3484.8,4223.6,82701.7,213.4,339.3,435.5,3335.9,15403.1,23810.2,214.2,72.3,552.3
18aA,,4148106,48721,793,100.00%,1.17%,0.02%,100.00%,1.17%,0.02%,46090.03,541.34,8.81,11,1190.5,2060.6,55.2,4260.5,67623.5,3,246.7,164.3,259.7,20116.2,9824.8,22.9,1070.3,381.4,-0.3,1078.4,904.4,-10.8,3688.3,34933.8,1.5,177.5,93.6,21,18635.3,903.7,11.6,1068.2,180.3,-2.7,1085.6,894.2,-22.9,3636,29728.1,1.9,233.5,91,19.5,17765.4,213.2,13.7,1064.8,148,4574.10%,32.89%,117.70%,1219.75%,36.04%,95.52%,10854.19%,114.35%,290.49%,1303.93%,24.49%,234.42%,1346.28%,3.71%,246.89%,123.5,357,1052.5,279.3,1310.5,28396.4,206.2,267,264.3,254.3,4351,499.8,184.6,39.6,365.5,2791.82%,71.85%,134.92%,8916.52%,109.41%,136.65%,7157.99%,144.37%,252.39%,1387.25%,81.58%,224.30%,962.65%,7.06%,145.00%,306,855.4,2780,4923.7,4661.5,92409.1,216.2,356.2,414.7,3602.7,16410.7,22036.5,220.3,75.6,553
